country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,original_period_label,notes
IRN,Iran,1988,100000000000,barrels,oil_production_trade_iraq_oil_reserves_proved,"Oil production & trade — Iraq oil reserves, proved",cia-iran-iraq-war-weary-economies-1988,1988 (as of 10 Nov),"Iraq's proved oil reserves increased this year to 100 billion barrels -- second in the world only to Saudi Arabia's. [cite: CIA Directorate of Intelligence, NESA 88-10067, ""Iran-Iraq: A Comparison of Two War-Weary Economies"" (An Intelligence Assessment, information as of 10 Nov 1988), November 1988, PDF p.iii/1]"
IRN,Iran,1990,3.3,million barrels/day,oil_production_trade_iraq_projected_oil_exports_by_1990,Oil production & trade — Iraq projected oil exports by 1990,cia-iran-iraq-war-weary-economies-1988,1990 (projected),"Assuming oil prices of $13-16/barrel, Iraq could earn $15-20 billion in oil revenues annually by 1990 (highest since 1980) on exports of about 3.3 million b/d. [cite: CIA Directorate of Intelligence, NESA 88-10067, ""Iran-Iraq: A Comparison of Two War-Weary Economies"" (An Intelligence Assessment, information as of 10 Nov 1988), November 1988, PDF p.iii]"
IRN,Iran,1990,15-20,USD billion,oil_production_trade_iraq_projected_annual_oil_revenue_by_1990,Oil production & trade — Iraq projected annual oil revenue by 1990,cia-iran-iraq-war-weary-economies-1988,1990 (projected),"Iraq could earn $15-20 billion in oil revenues annually by 1990 -- the highest level since 1980 -- given the assumed price/export scenario. [cite: CIA Directorate of Intelligence, NESA 88-10067, ""Iran-Iraq: A Comparison of Two War-Weary Economies"" (An Intelligence Assessment, information as of 10 Nov 1988), November 1988, PDF p.iii]"
IRN,Iran,1988,40000000000,USD,external_debt_iraq_non_arab_military_and_civilian_debt,External debt — Iraq non-Arab military and civilian debt,cia-iran-iraq-war-weary-economies-1988,,"Servicing Iraq's $40 billion non-Arab military and civilian debt will probably be Baghdad's major postwar challenge. [cite: CIA Directorate of Intelligence, NESA 88-10067, ""Iran-Iraq: A Comparison of Two War-Weary Economies"" (An Intelligence Assessment, information as of 10 Nov 1988), November 1988, PDF p.iii]"
IRN,Iran,1988,3,million barrels/day,oil_production_trade_iran_current_oil_production_capacity,Oil production & trade — Iran current oil production capacity,cia-iran-iraq-war-weary-economies-1988,1988 (midyear),"Iran's current oil production capacity of roughly 3 million b/d is about half what it was 10 years ago (i.e. under the Shah). [cite: CIA Directorate of Intelligence, NESA 88-10067, ""Iran-Iraq: A Comparison of Two War-Weary Economies"" (An Intelligence Assessment, information as of 10 Nov 1988), November 1988, PDF p.iii]"
IRN,Iran,1986,5 to 40,USD billion,external_debt_iraq_non_arab_military_civilian_debt_rise,External debt — Iraq non-Arab military/civilian debt rise,cia-iran-iraq-war-weary-economies-1988,1980-1986,"Iraq's heavy borrowing caused its non-Arab military and civilian debt to rise from about $5 billion in 1979 to $40 billion in 1987, funding both military and civilian imports Tehran could not match. [cite: CIA Directorate of Intelligence, NESA 88-10067, ""Iran-Iraq: A Comparison of Two War-Weary Economies"" (An Intelligence Assessment, information as of 10 Nov 1988), November 1988, PDF p.1]"
IRN,Iran,1987,35000000000,USD,foreign_aid_interest_free_soft_loans_to_iraq_from_arab_gulf_allies_since_1980,Foreign aid — Interest-free 'soft' loans to Iraq from Arab Gulf allies since 1980,cia-iran-iraq-war-weary-economies-1988,1980-1987,"Iraq received $35 billion in interest-free 'soft' loans since 1980 from its Arab allies in the Persian Gulf (mainly Saudi Arabia and Kuwait), via Neutral Zone crude oil sales on Iraq's behalf and cash payments. [cite: CIA Directorate of Intelligence, NESA 88-10067, ""Iran-Iraq: A Comparison of Two War-Weary Economies"" (An Intelligence Assessment, information as of 10 Nov 1988), November 1988, PDF p.1]"
IRN,Iran,1987,36 to 3,USD billion,foreign_exchange_iraq_foreign_assets_reserves_gold_decline,Foreign exchange — Iraq foreign assets (reserves + gold) decline,cia-iran-iraq-war-weary-economies-1988,1980-1987,"Iraq's foreign assets, including foreign exchange reserves and gold, fell from $36 billion in 1980 to about $3 billion in 1987. [cite: CIA Directorate of Intelligence, NESA 88-10067, ""Iran-Iraq: A Comparison of Two War-Weary Economies"" (An Intelligence Assessment, information as of 10 Nov 1988), November 1988, PDF p.1]"
IRN,Iran,1987,7100000000,USD,trade_iraq_civilian_imports_level,Trade — Iraq civilian imports level,cia-iran-iraq-war-weary-economies-1988,,"In 1987, Iraq's civilian imports amounted to $7.1 billion -- roughly half the 1980 level -- as Baghdad restricted civilian imports to essentials like food and medicine plus defense/oil-industry materials. [cite: CIA Directorate of Intelligence, NESA 88-10067, ""Iran-Iraq: A Comparison of Two War-Weary Economies"" (An Intelligence Assessment, information as of 10 Nov 1988), November 1988, PDF p.1]"
IRN,Iran,1980,19 to 5.5,USD billion,foreign_exchange_iran_foreign_assets_decline,Foreign exchange — Iran foreign assets decline,cia-iran-iraq-war-weary-economies-1988,1980-1986,"Iran's foreign assets fell from about $19 billion in 1980 to $5.5 billion 'last year' (1987), of which only an estimated $1.5 billion are liquid reserves. [cite: CIA Directorate of Intelligence, NESA 88-10067, ""Iran-Iraq: A Comparison of Two War-Weary Economies"" (An Intelligence Assessment, information as of 10 Nov 1988), November 1988, PDF p.1]"
