country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,243596.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1962,198669.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1963,123921.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1964,172228.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1965,249181.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1966,225601.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1967,249550.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1968,301191.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1969,317213.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1970,356489.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1971,297029.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1972,297081.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1973,303346.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1974,451568.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1975,395461.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1976,283943.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1977,270969.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1978,204782.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1979,214794.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1980,232900.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1981,206100.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1982,223700.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1983,312000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1984,397000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1985,396600.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1986,544400.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1987,584700.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1988,523400.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1989,610400.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1990,617000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1991,797800.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1992,951800.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1993,1030500.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1994,1127200.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1995,1091300.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1996,1161500.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1997,1268700.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1998,1239500.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1999,1213300.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2000,1209000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2001,1239000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2002,1199000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2003,1295000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2004,1280000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2005,1370000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2006,1400000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2007,1450000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2008,1715000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2009,1720000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2010,1750000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2011,1700000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2012,1670000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2013,1860000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2014,1650000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2015,1680000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2016,1800000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2017,1885600.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2018,1914000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2019,1955900.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2020,1782300.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2021,1908700.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2022,2043500.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2023,2063900.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1961,1815400.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1962,1820500.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1963,1778200.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1964,2016900.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1965,1979400.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1966,2021800.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1967,2064600.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1968,1996100.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1969,2078100.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1970,2087100.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1971,2095600.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1972,2039500.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1973,2266000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1974,2209800.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1975,2266000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1976,2459000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1977,2354000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1978,2278000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1979,2279000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1980,2128900.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1981,2185200.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1982,2240900.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1983,2208600.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1984,2028700.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1985,1930500.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1986,1885000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1987,1802400.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1988,1784700.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1989,1859000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1990,1910900.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1991,1865400.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1992,1851200.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1993,1829100.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1994,1766700.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1995,1827600.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1996,1714000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1997,1700300.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1998,1655000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1999,1662200.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2000,1599400.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2001,1571800.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2002,1534500.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2003,1543700.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2004,1471900.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2005,1413100.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2006,1340000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2007,1270000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2008,1439340.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2009,1483640.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2010,1448910.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2011,1584600.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2012,1714200.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2013,1441276.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2014,1389400.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2015,2402000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2016,2468000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2017,2130000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2018,2237500.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2019,2230000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2020,2160000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2021,2180000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2022,2250000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2023,2160000.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1961,6895700.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1962,7335100.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1963,7684300.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1964,8332300.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1965,8652000.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1966,8968300.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1967,9050500.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1968,9414000.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1969,9995900.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1970,10369200.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1971,10808600.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1972,10950200.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1973,11187400.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1974,11209200.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1975,11382000.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1976,11687700.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1977,11604100.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1978,11395300.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1979,11468500.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1980,11597500.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1981,11781500.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1982,12023000.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1983,12029600.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1984,11708500.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1985,11759100.000000,t,qcl:Production,Production,faostat-qcl
