country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
FRA,France,1961,596720.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1962,499790.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1963,542970.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1964,467290.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1965,492790.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1966,473460.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1967,449890.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1968,428980.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1969,429400.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1970,415560.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1971,373600.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1972,319600.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1973,310100.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1974,299000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1975,277281.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1976,249233.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1977,324820.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1978,323550.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1979,315771.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1980,267411.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1981,270900.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1982,270300.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1983,255400.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1984,255300.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1985,258200.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1986,287000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1987,279000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1988,274226.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1989,233300.000000,t,qcl:Production,Production,faostat-qcl
