country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
FRA,France,1961,23875.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1962,20967.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1963,23962.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1964,22217.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1965,25021.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1966,25202.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1967,24685.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1968,24055.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1969,23278.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1970,23346.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1971,23796.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1972,25246.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1973,25205.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1974,26043.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1975,23911.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1976,21480.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1977,26262.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1978,24476.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1979,24712.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1980,23348.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1981,23888.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1982,24572.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1983,23218.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1984,23209.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1985,22649.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1986,26090.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1987,25596.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1988,25445.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1989,25922.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1990,23582.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1991,26614.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
