country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
IRN,Iran,1961,10000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1962,10750.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1963,11500.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1964,12000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1965,12500.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1966,13750.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1967,15000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1968,16250.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1969,17000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1970,17500.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1971,17500.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1972,18000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1973,18750.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1974,19125.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1975,20000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1976,20750.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1977,21550.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1978,22350.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1979,23250.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1980,23750.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1981,24500.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1982,25000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1983,25500.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1984,26000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1985,26500.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1986,26750.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1987,27000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1988,27250.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1989,27500.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1990,28000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1991,28250.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1992,27500.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1993,28250.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1994,28000.000000,t,qcl:Production,Production,faostat-qcl
