country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,925.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1962,888.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1963,969.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1964,803.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1965,980.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1966,950.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1967,873.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1968,871.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1969,787.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1970,1034.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1971,1045.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1972,994.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1973,947.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1974,1006.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1975,1100.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1976,1041.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1977,936.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1978,964.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1979,777.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1980,833.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1981,829.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1982,863.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1983,1062.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1984,786.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1985,1085.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1986,837.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1987,1000.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1988,1329.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1989,750.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1990,750.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1991,1000.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1992,1000.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1993,950.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1994,947.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1995,944.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1996,941.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1997,937.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1998,933.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1999,928.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2000,923.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
