country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,1300.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1962,1300.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1963,1300.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1964,1500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1965,1500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1966,1500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1967,1700.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1968,1700.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1969,1720.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1970,1520.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1971,2600.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1972,3337.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1973,5000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1974,2990.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1975,3200.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1976,5040.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1977,4780.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1978,4200.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1979,3930.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1980,2860.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1981,1450.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1982,1295.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1983,1860.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1984,2025.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1985,2640.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1986,2620.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1987,2440.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1988,2435.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1989,2400.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1990,2500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1991,2600.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1992,2700.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1993,2800.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1994,2820.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1995,2900.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1996,2875.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1997,2895.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1998,2916.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1999,3000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
