country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
SAU,Saudi Arabia,2010,9.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2011,11.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2012,14.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2013,13.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2014,16.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2015,14.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2016,14.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2017,14.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2018,14.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2019,15.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2020,13.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2021,15.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2022,16.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2023,19.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2010,7.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2011,5.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2012,4.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2013,4.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2014,5.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2015,0.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2016,4.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2017,3.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2018,10.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2019,11.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2020,18.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2021,1.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2022,2.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2023,17.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2010,0.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2011,0.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2012,0.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2013,0.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2014,0.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2015,0.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2016,0.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2017,0.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2018,0.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2019,0.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2020,0.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2021,0.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2022,0.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2023,0.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2010,3.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2011,3.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2012,3.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2013,3.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2014,3.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2015,2.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2016,2.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2017,2.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2018,2.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2019,1.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2020,1.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2021,1.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2022,1.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2023,1.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2010,126.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2011,130.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2012,133.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2013,137.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2014,143.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2015,153.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2016,137.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2017,140.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2018,165.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2019,156.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2020,136.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2021,120.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2022,140.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2023,143.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2010,2.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2011,1.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2012,0.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2013,0.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2014,0.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2015,0.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2016,0.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2017,6.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2018,4.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2010,3.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2019,0.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2020,0.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2011,4.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2012,4.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2021,0.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2022,7.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2013,5.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2014,4.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2023,1.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2015,4.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2016,4.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2017,4.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2018,4.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2019,7.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2020,7.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2021,8.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2022,8.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2023,7.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2016,0.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2019,0.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2020,0.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2021,0.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2022,0.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2023,0.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2010,0.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2011,0.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2012,0.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2013,0.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2014,0.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2015,0.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2016,0.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2017,0.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2018,0.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2019,0.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2020,0.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2021,0.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2022,0.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2023,0.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2010,2.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2011,2.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2012,1.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2013,1.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2014,1.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2015,1.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2016,2.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2017,1.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2018,0.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2019,0.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2020,1.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2021,0.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2022,1.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2023,1.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2010,28.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2011,28.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2012,29.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2013,29.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2014,28.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2015,29.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2016,28.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2017,28.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2018,28.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2019,26.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2020,27.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2021,26.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2022,26.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2023,23.000000,1000 t,fbs:Food,Food,faostat-fbs
ESP,Spain,2010,13.000000,1000 t,fbs:Food,Food,faostat-fbs
ESP,Spain,2011,12.000000,1000 t,fbs:Food,Food,faostat-fbs
ESP,Spain,2012,14.000000,1000 t,fbs:Food,Food,faostat-fbs
ESP,Spain,2013,15.000000,1000 t,fbs:Food,Food,faostat-fbs
ESP,Spain,2014,13.000000,1000 t,fbs:Food,Food,faostat-fbs
ESP,Spain,2015,14.000000,1000 t,fbs:Food,Food,faostat-fbs
ESP,Spain,2016,14.000000,1000 t,fbs:Food,Food,faostat-fbs
ESP,Spain,2017,14.000000,1000 t,fbs:Food,Food,faostat-fbs
ESP,Spain,2018,11.000000,1000 t,fbs:Food,Food,faostat-fbs
ESP,Spain,2019,11.000000,1000 t,fbs:Food,Food,faostat-fbs
ESP,Spain,2020,13.000000,1000 t,fbs:Food,Food,faostat-fbs
ESP,Spain,2021,14.000000,1000 t,fbs:Food,Food,faostat-fbs
ESP,Spain,2022,19.000000,1000 t,fbs:Food,Food,faostat-fbs
ESP,Spain,2023,7.000000,1000 t,fbs:Food,Food,faostat-fbs
USA,United States,2010,180.000000,1000 t,fbs:Food,Food,faostat-fbs
USA,United States,2011,180.000000,1000 t,fbs:Food,Food,faostat-fbs
USA,United States,2012,180.000000,1000 t,fbs:Food,Food,faostat-fbs
USA,United States,2013,180.000000,1000 t,fbs:Food,Food,faostat-fbs
USA,United States,2014,140.000000,1000 t,fbs:Food,Food,faostat-fbs
USA,United States,2015,111.000000,1000 t,fbs:Food,Food,faostat-fbs
USA,United States,2016,130.000000,1000 t,fbs:Food,Food,faostat-fbs
USA,United States,2017,139.000000,1000 t,fbs:Food,Food,faostat-fbs
USA,United States,2018,108.000000,1000 t,fbs:Food,Food,faostat-fbs
USA,United States,2019,121.000000,1000 t,fbs:Food,Food,faostat-fbs
USA,United States,2020,93.000000,1000 t,fbs:Food,Food,faostat-fbs
USA,United States,2021,106.000000,1000 t,fbs:Food,Food,faostat-fbs
USA,United States,2022,82.000000,1000 t,fbs:Food,Food,faostat-fbs
USA,United States,2023,91.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2010,0.360000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
SAU,Saudi Arabia,2011,0.410000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
SAU,Saudi Arabia,2012,0.510000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
SAU,Saudi Arabia,2013,0.460000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
SAU,Saudi Arabia,2014,0.540000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
SAU,Saudi Arabia,2015,0.450000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
SAU,Saudi Arabia,2016,0.450000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
SAU,Saudi Arabia,2017,0.460000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
SAU,Saudi Arabia,2018,0.470000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
SAU,Saudi Arabia,2019,0.500000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
SAU,Saudi Arabia,2020,0.430000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
SAU,Saudi Arabia,2021,0.470000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
SAU,Saudi Arabia,2022,0.490000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
SAU,Saudi Arabia,2023,0.580000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
ARG,Argentina,2010,0.170000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
ARG,Argentina,2011,0.130000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
ARG,Argentina,2012,0.100000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
ARG,Argentina,2013,0.100000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
ARG,Argentina,2014,0.110000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
ARG,Argentina,2015,0.000000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
ARG,Argentina,2016,0.090000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
ARG,Argentina,2017,0.070000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
ARG,Argentina,2018,0.210000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
ARG,Argentina,2019,0.240000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
ARG,Argentina,2020,0.410000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
ARG,Argentina,2021,0.010000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
ARG,Argentina,2022,0.050000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
ARG,Argentina,2023,0.360000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
GBR,United Kingdom,2010,0.000000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
GBR,United Kingdom,2011,0.000000,kg/cap,fbs:Food supply quantity (kg/capita/yr),Food supply quantity (kg/capita/yr),faostat-fbs
