country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,33127.190000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1962,28223.290000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1963,27895.090000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1964,27253.390000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1965,37664.610000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1966,41308.860000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1967,38501.770000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1968,32360.380000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1969,36269.750000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1970,37245.670000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1971,43953.970000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1972,38285.750000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1973,45669.590000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1974,42611.390000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1975,45201.220000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1976,45679.700000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1977,42795.520000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1978,37938.050000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1979,45764.230000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1980,46657.220000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1981,44952.940000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1982,40815.490000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1983,36719.700000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1984,37371.850000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1985,34196.860000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1986,36592.460000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1987,36273.650000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1988,34118.530000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1989,30490.050000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1990,24907.240000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1991,25091.010000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1992,27863.540000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1993,40784.300000,t,qcl:Production,Production,faostat-qcl
