country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1985,4222.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1986,3571.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1987,3035.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1988,2500.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1989,2857.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1990,3984.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1991,3274.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1992,3276.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1993,3279.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1994,3281.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1995,3283.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1996,3285.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1997,3302.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1998,3279.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1999,3200.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2000,3312.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2001,3335.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2002,3461.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2003,3350.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2004,3373.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2005,3329.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2006,3346.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2007,3259.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2008,3272.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2009,3267.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2010,3255.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2011,3242.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2012,3148.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2013,3205.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2014,3221.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2015,3202.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2016,3199.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2017,3199.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2018,3202.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2019,3208.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2020,3212.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2021,3211.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2022,3210.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2023,3209.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2024,3208.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1961,1818.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1962,1818.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1963,1818.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1964,1818.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1965,1818.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1966,1857.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1967,1857.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1968,1857.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1969,1857.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
