country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,4013218.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1962,4321866.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1963,4588700.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1964,4413790.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1965,4240910.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1966,4746773.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1967,5855002.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1968,4860278.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1969,4971971.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1970,5451723.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1971,5828472.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1972,5412070.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1973,5115470.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1974,6956280.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1975,6304810.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1976,6826240.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1977,6714200.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1978,5859600.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1979,6756505.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1980,6593142.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1981,6173644.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1982,6636150.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1983,6710130.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1984,5887159.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1985,5838970.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1986,5724715.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1987,7546846.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1988,7060750.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1989,6400573.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1990,6083304.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1991,6374218.310000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1992,6399127.380000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1993,5999455.450000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1994,6934871.370000,t,qcl:Production,Production,faostat-qcl
