country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,2010,72.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
ARG,Argentina,2011,59.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
ARG,Argentina,2012,56.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
ARG,Argentina,2013,48.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
ARG,Argentina,2014,49.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
ARG,Argentina,2015,51.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
ARG,Argentina,2016,65.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
ARG,Argentina,2017,87.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
ARG,Argentina,2018,68.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
ARG,Argentina,2019,61.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
ARG,Argentina,2020,68.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
ARG,Argentina,2021,94.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
ARG,Argentina,2022,88.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
ARG,Argentina,2023,67.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
SAU,Saudi Arabia,2010,285.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
SAU,Saudi Arabia,2011,329.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
SAU,Saudi Arabia,2012,435.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
SAU,Saudi Arabia,2013,356.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
SAU,Saudi Arabia,2014,351.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
SAU,Saudi Arabia,2015,408.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
SAU,Saudi Arabia,2016,418.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
SAU,Saudi Arabia,2017,443.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
SAU,Saudi Arabia,2018,538.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
SAU,Saudi Arabia,2019,614.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
SAU,Saudi Arabia,2020,761.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
SAU,Saudi Arabia,2021,653.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
SAU,Saudi Arabia,2022,561.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
SAU,Saudi Arabia,2023,434.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
IRN,Iran,2010,98.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
IRN,Iran,2011,54.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
IRN,Iran,2012,39.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
IRN,Iran,2013,49.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
