country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,23000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1962,24000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1963,35000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1964,26000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1965,26500.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1966,27000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1967,27500.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1968,28000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1969,39000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1970,41000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1971,32250.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1972,55000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1973,34500.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1974,38750.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1975,37000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1976,38000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1977,39000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1978,38000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1979,40000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1980,41000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1981,42000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1982,45000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1983,44000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1984,45000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1985,45000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1986,46000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1987,43000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1988,42000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1989,40000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1991,42000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1992,43000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1993,44000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1994,45000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1995,46000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1996,47000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1997,46894.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1998,43218.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1999,48000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2000,47961.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2001,43488.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2002,43485.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2003,48500.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2004,48500.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2005,48500.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2006,48500.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2007,49000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2008,47637.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2009,49000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2010,50000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2011,50000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2012,50000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2013,50000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2014,50000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2015,50000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2016,50000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2017,50000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2018,50000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2019,50397.780000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2020,50829.650000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2021,51185.270000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2022,51129.750000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2023,51274.460000,t,qcl:Production,Production,faostat-qcl
