country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,2174000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1962,2460000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1963,2678000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1964,2544000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1965,2342000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1966,2777000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1967,3624000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1968,2590000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1969,2354000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1970,2668000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1971,2886000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1972,2600000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1973,2610000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1974,3528000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1975,3100000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1976,3760000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1977,3400000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1978,2800000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1979,3452505.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1980,3086772.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1981,2929914.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1982,3571000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1983,3504470.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1984,2638509.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1985,2252870.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1986,2563235.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1987,3693546.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1988,3191750.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1989,2970586.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1990,2342350.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1991,2081620.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1992,2126620.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1993,1940981.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1994,2497360.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1995,2854814.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1996,2039893.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1997,2481910.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1998,2001673.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1999,2441660.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2000,2459860.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2001,2481530.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2002,2281190.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2003,2339460.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2004,2650972.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2005,2829711.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2006,2880927.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2007,3092509.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2008,2821696.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2009,2181567.200000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2010,2619660.500000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2011,2890296.200000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2012,2244219.800000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2013,2871749.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2014,2635109.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2015,2415571.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2016,1758418.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2017,1965205.500000,t,qcl:Production,Production,faostat-qcl
