country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1962,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1963,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1964,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1965,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1966,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1967,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1968,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1969,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1970,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1971,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1972,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1973,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1974,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1975,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1976,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1977,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1978,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1979,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1980,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1981,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1982,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1983,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1984,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1985,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1986,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1987,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1988,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1989,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1990,1.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1991,3.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1992,2.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1993,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1994,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1995,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1996,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1997,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1998,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,1999,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,2000,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,2001,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,2002,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,2003,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,2004,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,2005,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,2006,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,2007,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,2008,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,2009,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,2010,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,2011,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,2012,0.000000,1000 t,fbsh:Food,Food,faostat-fbsh
ARG,Argentina,2013,2.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1961,16.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1962,18.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1963,23.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1964,22.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1965,25.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1966,26.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1967,25.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1968,19.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1969,21.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1970,22.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1971,14.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1972,26.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1973,19.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1974,10.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1975,10.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1976,7.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1977,18.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1978,9.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1979,25.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1980,21.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1981,21.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1982,16.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1983,22.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1984,20.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1985,22.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1986,27.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1987,19.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1988,45.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1989,65.000000,1000 t,fbsh:Food,Food,faostat-fbsh
FRA,France,1990,61.000000,1000 t,fbsh:Food,Food,faostat-fbsh
