country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
IRN,Iran,1990,500.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1991,800.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1992,2763.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1993,8253.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1994,18325.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1995,18661.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1996,18544.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1997,24091.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1998,25028.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1999,25031.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2000,26074.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2001,23390.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2002,24769.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2003,23440.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2004,24250.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2005,24591.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2006,25563.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2007,24194.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2008,27239.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2009,25549.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2010,25904.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2011,25931.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2012,26723.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2013,27803.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2014,29356.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2015,30561.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2016,29003.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2017,30831.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2018,29205.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2019,29679.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2020,28904.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2021,29258.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2022,29275.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2023,29144.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2024,29225.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,1984,12222.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,1985,7937.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,1986,11707.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,1987,16380.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,1988,17781.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,1989,18077.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,1990,19726.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,1991,17573.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,1992,20376.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,1993,18933.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,1994,17722.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,1995,16969.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,1996,19257.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,1997,14502.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,1998,15381.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,1999,19088.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,2000,19496.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,2001,18024.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,2002,19334.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,2003,16549.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,2004,20587.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,2005,19323.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,2006,20354.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,2007,19188.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,2008,21142.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,2009,18173.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,2010,16854.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,2011,17310.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,2012,15819.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,2013,17635.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,2014,20418.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ITA,Italy,2015,21918.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
