country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,469.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1962,733.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1963,821.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1964,763.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1965,992.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1966,944.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1967,552.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1968,427.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1969,636.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1970,413.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1971,563.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1972,474.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1973,687.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1974,829.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1975,1587.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1976,1800.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1977,1442.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1978,736.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1979,568.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1980,730.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1981,606.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1982,992.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1983,887.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1984,657.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1985,741.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1986,1071.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1987,1617.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1988,1675.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1989,887.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1990,929.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1991,955.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1992,960.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1993,1045.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1994,1860.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1995,1333.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1996,2000.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1997,2000.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1998,2000.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1999,2125.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2000,1816.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2001,600.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2002,1500.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2003,1666.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2004,1666.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2005,1666.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2006,1343.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2007,1352.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2008,1352.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2009,1409.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2010,1388.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2011,1395.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2012,1393.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2013,1393.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2014,1390.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2015,1307.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2016,1157.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2017,1062.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2018,1055.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2019,540.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2020,1047.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2021,716.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2022,1787.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2023,433.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2024,1019.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1961,758.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1962,548.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1963,779.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1964,859.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1965,1125.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1966,1415.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1967,1239.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1968,945.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1969,977.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1970,1377.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1971,1175.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1972,1129.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1973,1124.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1974,1452.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1975,1620.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1976,792.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1977,1138.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1978,1400.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1979,1699.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1980,1730.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1981,1656.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1982,1582.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1983,1600.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1984,2000.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1985,2102.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1986,1312.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1987,1558.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1988,1562.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1989,1595.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1990,1898.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1991,1739.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1992,898.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1993,1646.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1994,1409.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1995,1779.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1996,1588.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1997,1293.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1998,1165.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,1999,1286.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,2000,1710.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,2001,1412.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,2002,1509.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,2003,1214.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,2004,963.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,2005,1579.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,2006,1298.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,2007,1209.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,2008,1152.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,2009,1456.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,2010,1504.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,2011,1681.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,2012,1672.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,2013,1617.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,2014,1362.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,2015,1350.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,2016,1359.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
FRA,France,2017,1288.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
DEU,Germany,1961,416.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
DEU,Germany,1962,444.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
DEU,Germany,1963,500.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
DEU,Germany,1964,523.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
DEU,Germany,1965,769.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
DEU,Germany,1966,238.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
DEU,Germany,1967,333.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
DEU,Germany,1968,230.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
DEU,Germany,1969,400.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
DEU,Germany,1970,416.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
DEU,Germany,1971,150.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
DEU,Germany,1972,105.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
DEU,Germany,1973,333.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
DEU,Germany,1974,555.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
DEU,Germany,1975,1294.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
DEU,Germany,1976,1125.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
DEU,Germany,1977,666.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
DEU,Germany,1978,2687.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
DEU,Germany,1979,2222.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
DEU,Germany,1980,2105.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
DEU,Germany,1981,3750.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
DEU,Germany,1982,4125.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
DEU,Germany,1983,4375.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
