country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
SAU,Saudi Arabia,2010,45.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2011,46.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2012,18.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2013,21.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2014,19.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2015,18.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2016,18.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2017,12.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2018,23.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2019,38.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2020,26.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2021,40.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2022,40.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2023,40.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2010,1.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2011,0.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2012,0.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2013,0.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2014,0.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2015,0.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2016,0.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2017,0.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2018,0.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2019,1.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2020,0.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2021,0.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2022,0.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2023,0.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2010,28.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2011,36.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2012,29.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2013,25.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2014,25.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2015,24.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2016,29.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2017,33.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2018,35.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2019,35.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2020,30.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2021,1.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2022,1.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2023,1.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2010,0.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2011,1.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2012,1.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2013,0.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2014,0.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2015,0.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2016,11.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2017,0.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2018,1.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2019,0.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2020,1.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2021,6.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2022,6.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2023,6.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2010,6.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2011,7.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2012,6.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2013,6.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2014,5.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2015,3.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2016,0.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2017,2.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2018,1.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2019,0.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2020,1.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2021,2.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2022,2.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2023,2.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2010,3.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2011,2.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2012,0.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2013,0.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2014,0.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2015,0.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2016,0.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2017,0.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2018,0.000000,1000 t,fbs:Food,Food,faostat-fbs
