country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
IRN,Iran,1961,7840.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1962,8320.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1963,7360.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1964,8000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1965,8000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1966,8000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1967,8160.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1968,8320.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1969,7680.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1970,7040.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1971,7040.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1972,7680.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1973,7040.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1974,7520.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1975,8000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1976,7680.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1977,7200.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1978,7040.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1979,7040.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1980,7680.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1981,8480.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1982,8960.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1983,9120.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1984,9280.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1985,9600.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1986,9760.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1987,9920.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1988,10240.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1989,10240.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1990,10560.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1991,8800.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1992,8960.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1993,9120.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1994,9280.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1995,9920.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1996,19433.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1997,20405.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1998,21172.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1999,19668.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2000,20000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2001,21000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2002,15008.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2003,16711.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2004,16700.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2005,15000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2006,18000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2007,19200.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2008,17702.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2009,17137.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2010,18643.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2011,18926.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2012,19084.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2013,7200.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2014,8000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2015,7298.650000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2016,6188.630000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2017,5294.130000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2018,4453.710000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2019,2698.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2020,4705.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2021,6641.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2022,6668.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2023,5041.590000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2024,3639.050000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1961,200.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1962,340.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1963,400.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1964,420.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1965,500.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1966,500.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1967,500.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1968,500.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1969,500.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1970,520.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1971,600.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1972,630.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1973,700.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1974,1102.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1975,1251.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1976,938.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1977,1144.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1978,918.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1979,1104.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1980,1036.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1981,1243.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1982,611.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1983,612.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1984,588.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1985,686.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1986,647.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1987,723.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1988,706.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1989,509.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1990,495.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1991,431.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1992,372.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1993,479.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1994,387.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1995,474.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1996,1448.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1997,1701.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1998,1460.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1999,1076.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2000,1467.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2001,1046.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2002,1991.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2003,1352.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2004,3175.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2005,6090.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2006,1085.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2007,4060.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2008,2402.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2009,5742.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2010,6433.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2011,10644.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2012,23873.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2013,11858.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2014,14793.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2015,16510.400000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2016,18371.500000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2017,16591.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2018,22328.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2019,21276.900000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1961,14300.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1962,18000.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1963,22000.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1964,19000.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1965,19500.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1966,16000.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1967,18000.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1968,18000.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1969,19000.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1970,20000.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1971,19000.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1972,16000.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1973,17000.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1974,15560.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1975,16625.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1976,14850.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1977,13760.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1978,11385.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1979,11815.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1980,10660.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1981,10035.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1982,9050.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1983,11195.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1984,16595.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1985,14729.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1986,15757.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1987,14818.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1988,14039.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1989,12980.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1990,11445.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1991,8810.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1992,7965.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1993,7125.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1994,8150.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1995,6095.000000,t,qcl:Production,Production,faostat-qcl
TUR,Turkey,1996,3145.000000,t,qcl:Production,Production,faostat-qcl
