country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,3744.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1962,4056.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1963,4368.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1964,5037.500000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1965,5362.500000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1966,5752.500000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1967,4732.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1968,5343.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1969,5265.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1970,4992.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1971,4446.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1972,3926.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1973,3770.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1974,4134.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1975,3900.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1976,2600.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1977,2860.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1978,3120.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1979,3120.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1980,4680.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1981,5460.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1982,6760.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1983,7540.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1984,8060.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1985,9100.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1986,8060.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1987,8060.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1988,7020.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1989,7020.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1990,7280.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1991,5855.200000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1992,7880.600000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1993,7800.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1994,7540.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1995,7280.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1996,7020.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1997,7020.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1998,7020.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1999,7280.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2000,7280.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2001,7280.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2002,7410.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2003,7423.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2004,7423.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2005,7423.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2006,7540.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2007,7670.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2008,8348.160000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2009,9100.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2010,9230.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2011,9360.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2012,9294.720000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2013,9289.910000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2014,9441.550000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2015,9308.490000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2016,9389.570000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2017,9501.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2018,9572.770000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2019,9707.850000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2020,9756.030000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2021,9860.540000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2022,9918.810000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2023,10019.620000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2024,10121.810000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1961,1520.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1962,1540.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1963,1560.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1964,1580.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1965,1600.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1966,1620.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1967,1640.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1968,1660.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1969,1680.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1970,1700.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1971,1720.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1972,1740.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1973,1760.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1974,1780.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1975,1840.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1976,1880.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1977,1920.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1978,1960.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1979,2000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1980,2200.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1981,2400.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1982,2600.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1983,2800.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1984,3000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1985,3200.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1986,3400.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1987,3600.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1988,4000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1989,3100.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1990,3200.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1991,3300.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1992,3400.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1993,3400.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1994,3400.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1995,3500.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1996,3500.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1997,3500.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1998,3400.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1999,3300.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2000,3200.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2001,3200.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2002,3200.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2003,3200.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2004,3200.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2005,3200.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2006,3200.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2007,3200.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2008,3200.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2009,3200.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2010,3200.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2011,3200.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2012,3200.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2013,3200.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2014,2619.990000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2015,3099.470000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2016,2929.120000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2017,2841.730000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2018,2961.870000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2019,2963.760000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2020,2964.670000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2021,2934.400000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2022,2920.430000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2023,2905.240000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2024,2889.510000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2017,3270.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2018,3600.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2019,1890.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2020,1700.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2021,2850.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2022,2300.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2023,2530.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,2024,2600.000000,t,qcl:Production,Production,faostat-qcl
KOR,South Korea,1961,450.000000,t,qcl:Production,Production,faostat-qcl
KOR,South Korea,1962,750.000000,t,qcl:Production,Production,faostat-qcl
KOR,South Korea,1963,600.000000,t,qcl:Production,Production,faostat-qcl
KOR,South Korea,1964,500.000000,t,qcl:Production,Production,faostat-qcl
KOR,South Korea,1965,750.000000,t,qcl:Production,Production,faostat-qcl
KOR,South Korea,1966,750.000000,t,qcl:Production,Production,faostat-qcl
KOR,South Korea,1967,1100.000000,t,qcl:Production,Production,faostat-qcl
KOR,South Korea,1968,700.000000,t,qcl:Production,Production,faostat-qcl
KOR,South Korea,1969,750.000000,t,qcl:Production,Production,faostat-qcl
KOR,South Korea,1970,850.000000,t,qcl:Production,Production,faostat-qcl
KOR,South Korea,1971,800.000000,t,qcl:Production,Production,faostat-qcl
KOR,South Korea,1972,1700.000000,t,qcl:Production,Production,faostat-qcl
