country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,43171.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1962,50950.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1963,62031.600000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1964,85201.100000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1965,127760.100000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1966,122185.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1967,126029.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1968,138553.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1969,146155.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1970,186947.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1971,211806.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1972,204646.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1973,207090.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1974,282294.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1975,277990.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1976,262610.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1977,256800.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1978,264570.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1979,290563.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1980,298500.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1981,303270.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1982,339790.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1983,357115.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1984,352885.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1985,365485.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1986,378560.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1987,438788.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1988,391579.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1989,347148.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1990,371797.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1991,410844.500000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1992,498449.500000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1993,713385.000000,t,qcl:Production,Production,faostat-qcl
