country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,2010,13.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2011,48.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2012,29.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2013,35.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2014,37.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2015,40.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2016,36.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2017,56.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2018,42.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2019,45.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2020,51.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2021,46.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2022,61.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2023,43.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2010,17.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2011,21.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2012,23.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2013,19.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2014,20.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2015,23.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2016,27.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2017,29.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2018,26.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2019,24.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2020,36.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2021,29.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2022,32.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2023,24.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2010,0.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2011,0.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2012,0.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2013,0.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2014,0.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2015,1.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2016,0.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2017,3.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2018,6.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2019,1.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2020,4.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2021,2.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2022,3.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2023,3.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2010,60.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2011,69.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2012,67.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2013,74.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2014,79.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2015,75.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2016,44.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2017,42.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2018,5.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2019,1.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2020,36.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2021,33.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2022,92.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2023,45.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2010,0.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2011,0.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2012,0.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2013,0.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2014,1.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2015,0.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2016,0.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2017,0.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2018,2.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2019,2.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2020,3.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2021,5.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2022,8.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2023,13.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2010,36.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2011,34.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2012,36.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2013,37.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2014,46.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2015,50.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2016,51.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2017,58.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2018,53.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2019,63.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2020,69.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2021,114.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2010,12.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2022,69.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2011,11.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2023,65.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2012,11.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2010,1.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2013,13.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2011,3.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2014,9.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2012,4.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2015,13.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2013,3.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2016,13.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2014,4.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2017,10.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2015,5.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2018,7.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2016,7.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2019,20.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2017,9.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2020,26.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2018,9.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2021,14.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2019,11.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2010,2.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2022,11.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2020,11.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2023,5.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2011,5.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2021,13.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2012,3.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2022,20.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2013,1.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2023,14.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2014,1.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2010,204.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2015,2.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2016,1.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2011,169.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2012,193.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2017,1.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2018,2.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2013,127.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2014,124.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2019,3.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2020,7.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2015,106.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2016,87.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2021,7.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2022,3.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2017,101.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2018,206.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2023,1.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2019,353.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2020,576.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2010,25.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2021,605.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2011,25.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2022,534.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2012,25.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2023,441.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2010,12.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2013,24.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2014,22.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2011,12.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2012,13.000000,1000 t,fbs:Food,Food,faostat-fbs
