country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,2681080.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1962,3201549.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1963,2883402.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1964,2836320.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1965,3035522.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1966,2819489.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1967,2719090.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1968,2262160.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1969,2679115.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1970,2828520.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1971,2865350.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1972,2504182.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1973,2780704.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1974,2741140.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1975,2727472.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1976,2868868.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1977,3451500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1978,5075240.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1979,5042650.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1980,5740300.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1981,4367450.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1982,5059320.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1983,5526500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1984,6331025.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1985,6840960.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1986,7571100.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1987,6539700.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1988,7769140.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1989,7401830.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1990,8964400.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1991,8401770.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1992,8698310.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1993,7835350.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1994,8680410.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1995,9904705.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1996,10569220.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1997,10699860.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1998,11682790.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1999,13336225.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2000,12771973.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2001,13033591.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2002,13858453.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2003,15090134.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2004,16637239.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2005,16642167.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2006,17843286.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
