country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
IRN,Iran,1961,31200.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1962,31500.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1963,32000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1964,32600.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1965,33100.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1966,33700.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1967,34500.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1968,35200.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1969,36300.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1970,37200.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1971,42200.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1972,31930.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1973,39000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1974,40900.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1975,43900.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1976,44800.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1977,36400.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1978,39500.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1979,44200.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1980,43900.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1981,55172.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1982,56179.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1983,56531.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1984,60750.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1985,70195.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1986,77150.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1987,96026.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1988,39827.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1989,56867.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1990,30000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1991,29961.100000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1992,20708.500000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1993,19015.100000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1994,24949.600000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1995,39596.800000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1996,33777.400000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1997,27278.100000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1998,30171.300000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1999,30194.500000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2000,30438.900000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2001,31391.500000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2002,22057.800000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2003,24120.500000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2004,19660.200000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2005,27227.900000,t,qcl:Production,Production,faostat-qcl
