country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1985,733.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1986,733.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1987,733.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1988,733.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1989,733.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1990,879.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1991,789.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1992,838.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1993,844.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1994,854.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1995,864.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1996,873.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1997,882.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1998,891.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1999,899.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2000,907.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2001,915.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2002,935.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2003,930.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2004,950.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2005,954.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2006,967.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2007,933.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2008,973.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2009,1002.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2010,1022.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2011,1042.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2012,1153.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2013,1075.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2014,1070.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2015,1102.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2016,1109.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2017,1117.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2018,1132.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2019,1147.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2020,1162.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2021,1170.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2022,1182.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2023,1193.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2024,1204.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1982,2162.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1983,1000.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1984,800.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1985,684.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1986,471.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1987,312.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1988,307.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1989,307.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1990,270.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ESP,Spain,1985,446.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ESP,Spain,1986,475.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ESP,Spain,1987,690.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ESP,Spain,1988,538.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ESP,Spain,1989,500.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ESP,Spain,1990,425.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ESP,Spain,1991,465.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ESP,Spain,1992,685.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ESP,Spain,1993,862.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ESP,Spain,1994,888.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ESP,Spain,1995,958.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ESP,Spain,1996,1021.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ESP,Spain,1997,1080.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ESP,Spain,1998,1133.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ESP,Spain,1999,971.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ESP,Spain,2000,986.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ESP,Spain,2001,998.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ESP,Spain,2002,1010.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
