country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,660000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1962,680000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1963,700000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1964,700000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1965,710000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1966,720000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1967,732000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1968,735000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1969,751000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1970,727000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1971,680000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1972,630000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1973,600000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1974,560000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1975,565000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1976,570000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1977,575000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1978,580000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1979,590000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1980,595000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1981,600000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1982,610000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1983,615000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1984,620000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1985,620000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1986,625000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1987,630000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1988,630000.000000,t,qcl:Production,Production,faostat-qcl
