country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1980,6346.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1981,5062.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1982,4213.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1983,5943.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1984,5578.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1985,6637.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1986,4849.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1987,4557.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1988,8843.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1989,8515.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1990,7457.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1991,7741.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1992,7343.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1993,7575.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1994,7168.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1995,6030.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1996,7652.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1997,9107.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1998,10636.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1999,10434.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2000,8734.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2001,10968.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2002,9214.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2003,9813.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2004,10478.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2005,10652.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2006,10400.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2007,10384.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2008,11280.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2009,11943.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2010,12999.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2011,13834.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2012,15388.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2013,6916.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2014,13437.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2015,21266.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2016,19824.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2017,16831.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2018,19316.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2019,17529.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2020,9118.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2021,19099.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
