country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,2071700.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1962,1184400.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1963,1453400.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1964,1492400.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1965,2489000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1966,1484300.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1967,1797200.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1968,1966550.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1969,2339940.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1970,2336400.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1971,1958400.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1972,1339800.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1973,1534600.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1974,2172600.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1975,1349200.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1976,1526300.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1977,1769200.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1978,1593000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1979,1694000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1980,1568000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1981,2247100.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1982,1816960.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1983,1993200.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1984,2105700.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1985,2243300.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1986,2057600.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1987,2103500.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1988,2859100.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1989,2158000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1990,1598170.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1991,1749887.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1992,1628520.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1993,2104971.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1994,2422657.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1995,2427742.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1996,2275035.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1997,3011328.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1998,3412395.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1999,2700000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2000,2220529.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2001,2497156.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2002,2262120.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2003,2094520.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2004,2021020.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2005,1788677.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2006,1943632.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2007,1950000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2008,1900000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2009,1950000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2010,2011097.390000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2011,2058375.560000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2012,2149333.010000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2013,2211553.960000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2014,2264803.890000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2015,2329939.060000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2016,2430866.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2017,2459310.230000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2018,2483769.250000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2019,2600000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2020,2884000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2021,2999743.980000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2022,2259130.890000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2023,2146599.080000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2024,2111561.210000,t,qcl:Production,Production,faostat-qcl
FRA,France,1961,14331130.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1962,13389000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1963,15974000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1964,11566400.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1965,11223210.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1966,10613530.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1967,10406250.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1968,10048470.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1969,9046600.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1970,8025300.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1971,8634900.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1972,7401900.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1973,7359000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1974,7501000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1975,6641500.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1976,4326000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1977,7803100.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1978,7466600.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1979,7148000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1980,6617800.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1981,6438700.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1982,6797000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1983,5731000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1984,6964000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1985,7787000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1986,7149000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1987,7500000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1988,6775000.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1989,5416563.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1990,4754415.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,1991,5406974.800000,t,qcl:Production,Production,faostat-qcl
FRA,France,1992,6567803.200000,t,qcl:Production,Production,faostat-qcl
FRA,France,1993,5731177.800000,t,qcl:Production,Production,faostat-qcl
FRA,France,1994,5377075.400000,t,qcl:Production,Production,faostat-qcl
FRA,France,1995,5752291.200000,t,qcl:Production,Production,faostat-qcl
FRA,France,1996,6104254.900000,t,qcl:Production,Production,faostat-qcl
FRA,France,1997,6513006.100000,t,qcl:Production,Production,faostat-qcl
FRA,France,1998,5908280.300000,t,qcl:Production,Production,faostat-qcl
FRA,France,1999,6534363.200000,t,qcl:Production,Production,faostat-qcl
FRA,France,2000,6440483.100000,t,qcl:Production,Production,faostat-qcl
FRA,France,2001,6049645.900000,t,qcl:Production,Production,faostat-qcl
FRA,France,2002,6874391.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2003,6355131.200000,t,qcl:Production,Production,faostat-qcl
FRA,France,2004,7255378.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2005,6604600.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2006,6362823.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2007,7189093.300000,t,qcl:Production,Production,faostat-qcl
FRA,France,2008,6817621.900000,t,qcl:Production,Production,faostat-qcl
FRA,France,2009,7119238.700000,t,qcl:Production,Production,faostat-qcl
FRA,France,2010,6622043.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2011,7440219.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2012,6376057.600000,t,qcl:Production,Production,faostat-qcl
FRA,France,2013,6957008.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2014,8085184.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2015,7119837.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2016,6954983.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2017,8547354.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2018,7860380.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2019,8560410.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2020,8822180.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2021,8987220.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2022,8067380.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2023,8606490.000000,t,qcl:Production,Production,faostat-qcl
FRA,France,2024,9237460.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1961,29945536.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1962,38388000.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1963,38697568.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1964,33495232.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1965,30951200.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1966,31662576.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1967,35358912.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1968,31834800.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1969,24818976.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1970,29303808.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1971,24587504.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1972,27178016.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1973,25076496.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1974,27952864.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1975,18525616.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1976,16624339.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1977,21681296.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1978,21286928.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1979,22448112.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1980,17146192.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1981,18799392.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1982,16704081.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1983,13361138.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1984,19957088.000000,t,qcl:Production,Production,faostat-qcl
DEU,Germany,1985,21053840.000000,t,qcl:Production,Production,faostat-qcl
