country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,43510.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1962,40170.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1963,32350.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1964,36760.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1965,37720.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1966,36900.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1967,32200.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1968,34450.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1969,34500.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1970,35000.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1971,34700.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1972,35400.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1973,34095.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1974,38690.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1975,37140.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1976,34580.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1977,33475.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1978,34485.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1979,38080.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1980,64880.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1981,69280.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1982,68165.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1983,72570.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1984,73180.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1985,72570.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1986,77990.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1987,85390.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1988,70090.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1989,73080.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1990,73500.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1991,71710.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1992,80336.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1993,84320.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1994,91910.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1995,95340.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1996,94020.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1997,96020.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1998,107020.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1999,112230.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,2000,114230.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,2001,115230.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,2002,91335.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,2003,98395.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,2004,100395.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,2005,100395.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,2006,100440.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,2007,101550.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,2008,101550.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,2009,101550.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,2010,103660.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,2011,105765.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,2012,110837.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,2013,112876.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,2014,114910.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,2015,120718.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,2016,116764.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,2017,123982.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,2018,119257.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,2019,124099.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,2020,124121.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,2021,121211.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,2022,121766.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,2023,119099.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,2024,120018.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
