country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,67950.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1962,73190.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1963,82490.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1964,70470.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1965,102810.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1966,89290.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1967,69234.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1968,50635.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1969,78020.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1970,74760.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1971,92090.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1972,82400.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1973,97100.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1974,145730.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1975,151780.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1976,229550.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1977,232210.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1978,227605.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1979,265980.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1980,189170.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1981,261495.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1982,287655.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1983,247030.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1984,216670.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1985,238180.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1986,250880.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1987,180480.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1988,244840.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1989,172880.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1990,260925.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1991,312678.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1992,284970.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1993,242340.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1994,282376.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1995,284875.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1996,264413.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1997,327439.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1998,361065.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1999,395914.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2000,334577.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2001,300705.000000,t,qcl:Production,Production,faostat-qcl
