country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,13134.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1962,11883.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1963,11257.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1964,10515.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1965,11944.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1966,11767.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1967,12359.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1968,13093.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1969,12636.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1970,13978.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1971,13118.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1972,11009.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1973,11514.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1974,9463.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1975,11764.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1976,11704.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1977,8693.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1978,8666.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1979,10327.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1980,10459.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1981,9785.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1982,10286.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1983,9931.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1984,10120.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1985,12113.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1986,13412.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1987,9933.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1988,9822.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
