country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,694500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1962,286550.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1963,655100.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1964,773400.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1965,331200.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1966,420300.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1967,564500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1968,604200.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1969,528400.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1970,360300.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1971,432700.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1972,746500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1973,656000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1974,374700.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1975,299500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1976,340000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1977,240000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1978,260000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1979,225000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1980,210000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1981,162200.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1982,173700.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1983,160400.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1984,159200.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1985,90000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1986,64700.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1987,96235.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1988,54580.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1989,80570.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1990,68000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1991,68000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1992,50800.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1993,48100.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1994,73850.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1995,56255.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1996,50930.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1997,42600.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1998,63150.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1999,60500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2000,91600.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2001,89495.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2002,64029.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2003,56450.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2004,38601.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2005,62460.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2006,28675.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2007,14750.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2008,38700.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2009,33580.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2010,26430.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2011,24100.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2012,23405.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2013,22725.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2014,31965.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2015,51112.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2016,34390.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2017,40890.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2018,45034.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2019,49321.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2020,108532.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2021,86000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2022,116508.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2023,107792.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2024,118002.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
FRA,France,1961,261200.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
FRA,France,1962,242800.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
FRA,France,1963,231300.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
FRA,France,1964,220200.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
FRA,France,1965,220900.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
FRA,France,1966,197700.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
