country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,499200.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1962,537200.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1963,519100.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1964,519600.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1965,533500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1966,440700.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1967,330000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1968,282000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1969,405900.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1970,452100.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1971,366770.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1972,398400.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1973,457100.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1974,474000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1975,505000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1976,413600.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1977,518000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1978,607000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1979,669000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1980,567500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1981,282000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1982,399400.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1983,343400.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1984,469700.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1985,447000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1986,338800.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1987,273250.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1988,492100.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1989,501500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1990,544900.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1991,538500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1992,529100.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1993,302080.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1994,484000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1995,680000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1996,969000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1997,888000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1998,878000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1999,640000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2000,332090.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2001,388153.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2002,164731.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2003,145723.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2004,254913.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2005,374700.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2006,304397.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2007,393005.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2008,303383.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2009,289785.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2010,440872.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2011,623399.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2012,528221.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
