country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,393100.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1962,341000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1963,438500.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1964,337200.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1965,457000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1966,370200.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1967,269800.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1968,230000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1969,366500.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1970,458200.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1971,285000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1972,292200.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1973,424000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1974,418400.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1975,541000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1976,445000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1977,522000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1978,714000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1979,572600.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1980,485400.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1981,265300.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1982,491000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1983,373300.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1984,610000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1985,536100.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1986,376600.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1987,322800.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1988,849400.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1989,619350.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1990,922950.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1991,789400.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1992,651960.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1993,431145.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1994,705840.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1995,1122547.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1996,1347000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1997,1030000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1998,987000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1999,618000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2000,417680.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2001,509405.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2002,218159.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2003,201506.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2004,353799.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2005,448315.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2006,417770.000000,t,qcl:Production,Production,faostat-qcl
