country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,182000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1962,176000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1963,185000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1964,192000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1965,186000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1966,198000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1967,190000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1968,174000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1969,180000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1970,170000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1971,156000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1972,164000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1973,160000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1974,155000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1975,160000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1976,156000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1977,172000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1978,160000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1979,155000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1980,167590.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1981,165136.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1982,153000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1983,135359.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1984,146000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1985,130000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1986,140000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1987,138000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1988,145000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1989,152000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1990,150500.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1991,125000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1992,110000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1993,103000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1994,88000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1995,80000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1996,70000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1997,68000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1998,62000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1999,65000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2000,58000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2001,56000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2002,65000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2003,72000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2004,60000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2005,54355.110000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2006,58602.670000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2007,61581.230000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2008,65000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2009,65000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2010,54000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2011,48000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2012,42000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2013,44000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2014,45987.920000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2015,46000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2016,42700.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2017,42400.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2018,40424.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2019,42000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2020,40677.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2021,39742.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2022,36623.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2023,34034.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2024,32040.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1961,29091.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1962,30909.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1963,32727.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1964,34545.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1965,34545.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1966,38000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1967,38000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1968,39000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1969,38000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1970,38000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1971,40895.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1972,37247.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1973,34000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1974,35000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1975,35000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1976,33000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1977,34000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1978,34000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1979,33000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1980,31000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1981,32000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1982,34000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1983,36000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1984,38000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1985,40000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1986,42700.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1987,41000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1988,40700.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1989,45000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1990,44600.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1991,44700.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1992,46000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1993,49700.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1994,50300.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1995,50900.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1996,51499.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1997,57000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1998,62700.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1999,73907.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2000,75000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2001,73233.440000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2002,72000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2003,73000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2004,73802.120000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2005,74567.770000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2006,75000.000000,t,qcl:Production,Production,faostat-qcl
