country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,957.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1962,11220.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1963,18920.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1964,14000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1965,17000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1966,18200.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1967,20500.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1968,22000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1969,31800.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1970,26800.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1971,59000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1972,78000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1973,272000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1974,496000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1975,485000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1976,695000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1977,1400000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1978,2500000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1979,3700000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1980,3500000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1981,3770000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1982,4150000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1983,4000000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1984,7000000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1985,6500000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1986,7100000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1987,6700000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1988,9900000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1989,6500000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1990,10700000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1991,10862000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1992,11310000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1993,11045400.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1994,11719900.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1995,12133000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1996,12448200.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1997,11004890.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1998,18732172.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,1999,20000000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2000,20135800.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2001,26880852.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2002,30000000.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2003,34818552.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2004,31576752.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2005,38289744.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2006,40537364.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2007,47482784.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2008,46238088.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2009,30993380.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2010,52675464.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2011,48888536.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2012,40100196.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2013,49306200.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2014,53397715.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2015,61446556.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2016,58799258.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2017,54971626.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2018,37787927.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2019,55263891.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2020,48780407.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2021,46217911.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2022,43861066.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2023,25044978.000000,t,qcl:Production,Production,faostat-qcl
ARG,Argentina,2024,48213207.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1961,1000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1962,1000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1963,1000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1964,1000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1965,1000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1966,2000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1967,2000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1968,2000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1969,2000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1970,3000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1971,4000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1972,15000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1973,10500.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1974,36000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1975,70500.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1976,102000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1977,86000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1978,113000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1979,84401.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1980,49000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1981,62002.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1982,103694.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1983,130032.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1984,110000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1985,105000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1986,95000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1987,57677.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1988,94808.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1989,90000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1990,88790.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1991,63309.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1992,88128.600000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1993,150949.400000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1994,147023.800000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1995,91563.600000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1996,71127.800000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1997,125013.100000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1998,115373.100000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,1999,91699.200000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2000,76853.200000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2001,85984.600000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2002,124718.500000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2003,144864.700000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2004,218295.300000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2005,197863.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2006,184967.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2007,178819.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2008,180600.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2009,172299.200000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2010,157400.500000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2011,116399.700000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2012,167599.900000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2013,151363.100000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2014,142523.800000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2015,139972.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2016,139325.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2017,140000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2018,160000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2019,180000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2020,190000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2021,200000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2022,210000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2023,190000.000000,t,qcl:Production,Production,faostat-qcl
IRN,Iran,2024,200000.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1961,345.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1962,385.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1963,255.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1964,275.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1965,235.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1966,214.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1967,225.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1968,190.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1969,181.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1970,170.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1971,124.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1972,125.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1973,414.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1974,710.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1975,490.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1976,250.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1977,110.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1978,30.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1979,190.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1980,330.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1981,880.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1982,9200.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1983,58900.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1984,109700.000000,t,qcl:Production,Production,faostat-qcl
ITA,Italy,1985,286400.000000,t,qcl:Production,Production,faostat-qcl
