country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,2010,38.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
ARG,Argentina,2011,9.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
ARG,Argentina,2012,5.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
ARG,Argentina,2013,9.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
ARG,Argentina,2014,1.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
ARG,Argentina,2015,1.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
ARG,Argentina,2016,0.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
ARG,Argentina,2017,0.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
ARG,Argentina,2018,0.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
ARG,Argentina,2019,1.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
ARG,Argentina,2020,0.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
ARG,Argentina,2021,0.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
ARG,Argentina,2022,1.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
ARG,Argentina,2023,1.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
SAU,Saudi Arabia,2010,2.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
SAU,Saudi Arabia,2011,3.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
SAU,Saudi Arabia,2012,3.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
SAU,Saudi Arabia,2013,4.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
SAU,Saudi Arabia,2014,4.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
SAU,Saudi Arabia,2015,7.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
SAU,Saudi Arabia,2016,10.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
SAU,Saudi Arabia,2017,15.000000,1000 t,fbs:Import quantity,Import quantity,faostat-fbs
