country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,2010,282.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2011,286.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2012,251.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2013,248.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2014,261.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2015,255.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2016,258.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2017,278.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2018,300.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2019,373.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2020,269.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2021,119.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2022,251.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2023,168.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2010,116.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2011,74.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2012,109.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2013,118.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2014,10.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2015,11.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2016,19.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2017,12.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2018,3.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2019,4.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2020,1.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2021,48.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2022,57.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2023,71.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2010,386.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2011,312.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2012,303.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2013,303.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2014,299.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2015,302.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2016,330.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2017,332.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2018,332.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2019,261.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2020,495.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2021,343.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2022,364.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2023,368.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2010,109.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2011,62.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2012,77.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2013,57.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2014,4.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2015,3.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2016,3.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2017,51.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2018,41.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2019,53.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2020,51.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2021,63.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2022,72.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2023,66.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2010,211.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2011,72.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2012,242.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2013,341.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2014,220.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2015,221.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2016,222.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2017,264.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2018,509.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2019,557.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2020,570.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2021,600.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2022,1262.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2023,1173.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2010,46.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2011,27.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2012,40.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2013,16.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2014,4.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2015,6.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2016,41.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2017,43.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2018,32.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2019,83.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2020,81.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2021,44.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2022,99.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2023,8.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2010,40.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2011,14.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2012,18.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2013,26.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2014,19.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2015,46.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2016,52.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2017,54.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2018,125.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2019,122.000000,1000 t,fbs:Food,Food,faostat-fbs
