country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
SAU,Saudi Arabia,2010,30.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2011,32.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2012,33.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2013,34.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2010,231.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2014,35.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2011,241.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2015,36.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2012,240.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2016,37.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2013,245.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2017,37.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2014,233.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2018,38.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2015,252.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2019,40.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2016,256.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2020,42.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2017,263.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2021,31.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2018,268.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2022,35.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2019,1081.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2023,34.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2020,1124.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2021,1178.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2022,1218.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2023,1241.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2010,11.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2011,16.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2012,11.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2013,18.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2014,15.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2015,13.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2016,13.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2017,11.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2018,11.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2019,10.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2020,9.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2021,9.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2022,9.000000,1000 t,fbs:Food,Food,faostat-fbs
NLD,Netherlands,2023,1.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2010,144.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2011,139.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2012,135.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2013,136.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2014,129.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2015,140.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2016,150.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2017,154.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2018,154.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2019,128.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2020,136.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2021,166.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2022,154.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2023,108.000000,1000 t,fbs:Food,Food,faostat-fbs
PRT,Portugal,2010,2.000000,1000 t,fbs:Food,Food,faostat-fbs
PRT,Portugal,2011,2.000000,1000 t,fbs:Food,Food,faostat-fbs
PRT,Portugal,2012,1.000000,1000 t,fbs:Food,Food,faostat-fbs
PRT,Portugal,2013,1.000000,1000 t,fbs:Food,Food,faostat-fbs
PRT,Portugal,2014,2.000000,1000 t,fbs:Food,Food,faostat-fbs
PRT,Portugal,2015,2.000000,1000 t,fbs:Food,Food,faostat-fbs
PRT,Portugal,2016,1.000000,1000 t,fbs:Food,Food,faostat-fbs
PRT,Portugal,2017,3.000000,1000 t,fbs:Food,Food,faostat-fbs
PRT,Portugal,2018,3.000000,1000 t,fbs:Food,Food,faostat-fbs
PRT,Portugal,2019,2.000000,1000 t,fbs:Food,Food,faostat-fbs
PRT,Portugal,2020,2.000000,1000 t,fbs:Food,Food,faostat-fbs
PRT,Portugal,2021,2.000000,1000 t,fbs:Food,Food,faostat-fbs
PRT,Portugal,2022,3.000000,1000 t,fbs:Food,Food,faostat-fbs
PRT,Portugal,2023,5.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2010,176.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2011,184.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2012,171.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2010,121.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2013,162.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2014,174.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2011,129.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2012,125.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2015,171.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2016,164.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2013,116.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2014,124.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2017,154.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2018,147.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2015,119.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2016,109.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2019,132.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2020,133.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2017,108.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2018,108.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2021,134.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2022,130.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2019,104.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2020,111.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2023,100.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2021,92.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2022,100.000000,1000 t,fbs:Food,Food,faostat-fbs
GBR,United Kingdom,2023,84.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2010,18.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2011,17.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2012,17.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2013,17.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2014,16.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2015,20.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2016,17.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2017,18.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2018,18.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2019,16.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2020,16.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2021,15.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2022,17.000000,1000 t,fbs:Food,Food,faostat-fbs
FRA,France,2023,14.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2010,207.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2011,202.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2012,210.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2013,225.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2014,249.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2015,249.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2016,246.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2017,288.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2018,295.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2019,272.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2020,1430.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2021,1441.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2022,1254.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2023,1744.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2010,4.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2011,4.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2012,4.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2013,4.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2014,4.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2015,4.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2016,4.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2017,4.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2018,4.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2019,4.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2020,4.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2021,4.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2022,4.000000,1000 t,fbs:Food,Food,faostat-fbs
SWE,Sweden,2023,4.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2010,1.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2011,1.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2012,1.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2013,2.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2014,1.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2015,1.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2016,1.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2017,0.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2018,0.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2019,0.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2020,0.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2021,0.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2022,1.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2023,0.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2010,3.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2011,4.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2012,5.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2013,4.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2014,4.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2015,4.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2016,4.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2017,11.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2018,16.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2019,5.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2020,1.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2021,3.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2022,2.000000,1000 t,fbs:Food,Food,faostat-fbs
GRC,Greece,2023,3.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2010,33.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2011,45.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2012,47.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2013,59.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2014,47.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2015,30.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2016,30.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2017,31.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2018,31.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2019,28.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2020,21.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2021,26.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2022,30.000000,1000 t,fbs:Food,Food,faostat-fbs
DEU,Germany,2023,27.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2010,8.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2011,7.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2012,8.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2013,8.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2014,7.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2015,6.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2016,6.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2017,6.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2018,6.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2019,5.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2020,6.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2021,6.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2022,7.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2023,7.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2010,3.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2011,3.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2012,3.000000,1000 t,fbs:Food,Food,faostat-fbs
