country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,495.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1962,448.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1963,691.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1964,687.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1965,728.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1966,788.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1967,830.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1968,662.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1969,764.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1970,821.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1971,927.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1972,1033.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1973,1027.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1974,918.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1975,1018.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1976,858.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1977,952.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1978,556.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1979,715.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1980,874.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1981,732.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1982,937.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1983,1038.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1984,998.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1985,1105.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1986,1126.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1987,1231.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1988,916.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1989,1296.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1990,1304.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1991,5377.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1992,5424.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1993,6219.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1994,5907.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1995,5995.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1996,5433.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1997,6257.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1998,6549.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,1999,6136.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2000,8363.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2001,8257.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2002,8406.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2003,8356.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2004,8344.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2005,8118.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2006,8263.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2007,8250.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2008,8923.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2009,8386.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2010,10800.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2011,10922.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2012,9155.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2013,9333.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2014,9375.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2015,9065.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2016,9433.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2017,9025.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2018,9088.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2019,10606.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2020,10164.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2021,11167.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2022,11798.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2023,11435.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
ARG,Argentina,2024,11943.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1961,546.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1962,597.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1963,589.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1964,449.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1965,502.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1966,470.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1967,588.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1968,729.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1969,703.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1970,722.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1971,791.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1972,894.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1973,851.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1974,888.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1975,900.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1976,733.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1977,1003.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1978,1000.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1979,1176.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1980,1038.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1981,1034.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1982,1175.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1983,1044.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1984,1411.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1985,1050.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1986,1174.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1987,1343.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1988,1351.400000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1989,868.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1990,1160.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1991,7767.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1992,7773.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1993,8069.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1994,7627.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1995,7056.800000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1996,8001.500000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1997,8927.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1998,7807.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,1999,8158.200000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2000,7169.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2001,7261.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2002,6750.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2003,6738.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2004,4265.300000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2005,6151.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2006,6258.600000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2007,6117.900000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2008,5855.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2009,6490.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2010,4108.100000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2011,4108.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2012,3839.000000,kg/ha,qcl:Yield,Yield,faostat-qcl
IRN,Iran,2013,3623.700000,kg/ha,qcl:Yield,Yield,faostat-qcl
