country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1985,3535.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1986,3535.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1987,3535.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1988,3535.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1989,3535.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1990,4090.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1991,3436.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1992,3629.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1993,3613.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1994,3654.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1995,3695.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1996,3737.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1997,3763.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1998,3811.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,1999,3740.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2000,3913.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2001,3961.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2002,3850.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2003,4083.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2004,4150.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2005,4219.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2006,3960.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2007,4342.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2008,4428.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2009,4524.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2010,5100.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2011,4792.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2012,5200.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2013,5166.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2014,6967.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2015,9765.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2016,14486.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2017,14800.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2018,15290.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2019,14846.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2020,14972.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2021,15043.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2022,14960.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2023,14998.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ARG,Argentina,2024,15005.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1961,44550.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1962,44600.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1963,37700.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1964,37650.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1965,42650.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1966,48650.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1967,44650.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1968,64150.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1969,64150.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1970,64150.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1971,63940.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1972,79500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1973,84900.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1974,85850.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1975,85900.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1976,89800.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1977,86900.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1978,123900.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1979,132900.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1980,149500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1981,153110.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1982,129422.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1983,142592.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1984,143740.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1985,149955.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1986,159507.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1987,163686.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1988,176361.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1989,185026.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1990,216700.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1991,226934.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1992,245235.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1993,290961.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1994,302526.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1995,325528.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1996,348851.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1997,361053.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1998,386816.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,1999,408179.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2000,429395.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2001,460573.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2002,488524.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2003,516847.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2004,558180.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2005,587566.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2006,646822.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2007,649031.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2008,554430.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2009,613206.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2010,569515.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2011,547424.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2012,570377.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2013,616576.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2014,591125.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2015,602547.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2016,710504.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2017,561906.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2018,309866.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2019,563810.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2020,344004.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2021,530940.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2022,336879.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2023,403817.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
IRN,Iran,2024,422386.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1961,401600.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1962,396800.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1963,393600.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1964,390800.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1965,386900.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1966,385700.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1967,386800.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1968,385100.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1969,382500.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1970,381100.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1971,364100.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1972,334800.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1973,324400.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1974,326700.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1975,319600.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1976,311400.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1977,306000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1978,298600.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1979,296900.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1980,291200.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1981,287600.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1982,283000.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1983,212098.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1984,210112.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1985,229699.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1986,231540.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1987,229078.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1988,213535.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1989,218087.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1990,217450.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1991,221830.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1992,218047.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1993,217379.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1994,203916.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1995,200848.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1996,198167.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1997,199370.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1998,199053.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,1999,190295.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,2000,188182.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,2001,188425.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,2002,188462.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,2003,187334.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,2004,185708.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,2005,182752.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,2006,183118.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,2007,183761.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,2008,183810.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,2009,182908.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,2010,175646.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,2011,177217.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,2012,159568.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,2013,158062.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,2014,156607.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,2015,160222.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
ITA,Italy,2016,157268.000000,ha,qcl:Area harvested,Area harvested,faostat-qcl
