country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1961,700.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1962,750.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1963,820.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1964,870.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1965,920.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1966,970.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1967,640.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1968,700.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1969,750.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1970,750.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1971,750.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1972,900.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1973,950.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1974,1100.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1975,1000.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1976,1100.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1977,1000.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1978,1200.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1979,1380.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1980,1560.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1981,1860.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1982,2200.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1983,2500.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1984,2900.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1985,3190.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
ARG,Argentina,1986,3300.000000,1000 An,qcl:Stocks,Stocks,faostat-qcl
