country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,2010,4476.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2011,4268.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2012,4184.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2013,4487.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2014,4183.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2015,4434.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2016,4436.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2017,4470.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2018,4555.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2019,5283.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2020,4900.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2021,4805.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2022,5480.000000,1000 t,fbs:Food,Food,faostat-fbs
ARG,Argentina,2023,5775.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2010,11113.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2011,10415.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2012,11028.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2013,10880.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2014,12061.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2015,12441.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2016,12607.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2017,12638.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2018,12669.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2019,12682.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2020,13324.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2021,13392.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2022,14179.000000,1000 t,fbs:Food,Food,faostat-fbs
IRN,Iran,2023,13897.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2010,8754.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2011,8838.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2012,8934.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2013,8968.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2014,8977.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2015,9042.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2016,8996.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2017,8936.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2018,8847.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2019,8587.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2020,8241.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2021,8243.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2022,8039.000000,1000 t,fbs:Food,Food,faostat-fbs
ITA,Italy,2023,8321.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2010,2467.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2011,2415.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2012,2583.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2013,2633.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2014,3231.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2015,3191.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2010,2593.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2011,2488.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2016,3266.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2017,3363.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2012,2552.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2013,2539.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2018,3392.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2019,3507.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2014,2614.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2015,2669.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2020,3485.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2021,3497.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2016,2738.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2017,2788.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2022,3469.000000,1000 t,fbs:Food,Food,faostat-fbs
SAU,Saudi Arabia,2023,3764.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2018,2775.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2019,2742.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2020,2762.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2021,2816.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2022,2872.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2010,19054.000000,1000 t,fbs:Food,Food,faostat-fbs
KOR,South Korea,2023,2743.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2011,18692.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2012,19205.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2013,18745.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2014,19358.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2015,20493.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2016,20606.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2017,20754.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2018,19451.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2019,19423.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2020,19991.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2021,20077.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2022,20207.000000,1000 t,fbs:Food,Food,faostat-fbs
RUS,Russia,2023,19852.000000,1000 t,fbs:Food,Food,faostat-fbs
ESP,Spain,2010,4292.000000,1000 t,fbs:Food,Food,faostat-fbs
ESP,Spain,2011,4387.000000,1000 t,fbs:Food,Food,faostat-fbs
ESP,Spain,2012,4470.000000,1000 t,fbs:Food,Food,faostat-fbs
ESP,Spain,2013,4466.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2010,13311.000000,1000 t,fbs:Food,Food,faostat-fbs
ESP,Spain,2014,4692.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2011,13401.000000,1000 t,fbs:Food,Food,faostat-fbs
ESP,Spain,2015,4658.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2012,12916.000000,1000 t,fbs:Food,Food,faostat-fbs
ESP,Spain,2016,4649.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2013,12857.000000,1000 t,fbs:Food,Food,faostat-fbs
ESP,Spain,2017,4655.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2014,13094.000000,1000 t,fbs:Food,Food,faostat-fbs
USA,United States,2010,25771.000000,1000 t,fbs:Food,Food,faostat-fbs
ESP,Spain,2018,4715.000000,1000 t,fbs:Food,Food,faostat-fbs
USA,United States,2011,25655.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2015,13539.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2010,1357.000000,1000 t,fbs:Food,Food,faostat-fbs
ESP,Spain,2019,4638.000000,1000 t,fbs:Food,Food,faostat-fbs
TUR,Turkey,2016,13875.000000,1000 t,fbs:Food,Food,faostat-fbs
USA,United States,2012,26369.000000,1000 t,fbs:Food,Food,faostat-fbs
ESP,Spain,2020,4715.000000,1000 t,fbs:Food,Food,faostat-fbs
VEN,Venezuela,2011,1370.000000,1000 t,fbs:Food,Food,faostat-fbs
