country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,original_period_label,notes
IRN,Iran,1973,7,percent,government_finance_goi_budget_understatement_of_actual_spending,Government Finance — GOI budget understatement of actual spending,frus-iran-1973-76-oil-boom-era,Iranian year 1352 (Mar1972-Mar1973),"Per Embassy First Secretary Alexander Rattray's assessment of the 1352 National Budget. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 11 (March 1973 (letter)), PDF p.76]"
IRN,Iran,1973,38,percent,government_finance_rise_in_general_social_expenditures_category,Government Finance — Rise in 'General' (social) expenditures category,frus-iran-1973-76-oil-boom-era,1352 budget,"Partly attributed to military expenditures hidden in the development side of the budget. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 11 (March 1973 (letter)), PDF p.76]"
IRN,Iran,1974,10,billion USD,government_finance_estimated_oil_increase_to_us_per_colby_remark,Government Finance — Estimated 'oil increase to us' per Colby remark,frus-iran-1973-76-oil-boom-era,Dec 28 1973 (Kissinger meeting),"William Colby's comment in a Dec 28, 1973 Kissinger meeting on the price rise's fiscal impact. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 49 (Dec 29 1973), PDF p.207]"
IRN,Iran,1983,180,billion USD,government_finance_iran_s_planned_development_investment_over_the_next_decade,Government Finance — Iran's planned development investment over the next decade,frus-iran-1973-76-oil-boom-era,next decade (from 1974),"Per Finance Minister Ansary. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 88 (Nov 2 1974), PDF p.303]"
IRN,Iran,1983,6,percent,government_finance_share_of_gnp_earmarked_for_iran_s_foreign_aid_programs_by_1983,Government Finance — Share of GNP earmarked for Iran's foreign aid programs by 1983,frus-iran-1973-76-oil-boom-era,1983 (target),"Per Ansary. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 88 (Nov 2 1974), PDF p.304]"
IRN,Iran,1975,26.5,billion USD,government_finance_goi_total_budget_next_year,"Government Finance — GOI total budget, next year",frus-iran-1973-76-oil-boom-era,FY1975 total,"[cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 92 (Dec 16 1974), PDF p.321]"
IRN,Iran,1975,10,billion USD,government_finance_us_iran_investment_program_under_discussion,Government Finance — US-Iran investment program under discussion,frus-iran-1973-76-oil-boom-era,planned,"Per Kissinger, a preliminary agreement expected by March 1975 with signature during the Shah's May visit. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 100 (Feb 7 1975), PDF p.345]"
IRN,Iran,1980,12.5,billion USD,government_finance_us_iran_non_military_economic_program_five_year_total,"Government Finance — US-Iran non-military economic program, five-year total",frus-iran-1973-76-oil-boom-era,"agreed program, March 1975","Per Kissinger to President Ford; breaks down as $6bn nuclear development, $5bn port facilities, $2.5bn agriculture (figures as stated, sum to $13.5bn -- preserved as printed, not reconciled). [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 109 (March 4 1975), PDF p.365]"
IRN,Iran,1974,about 20,billion USD,government_finance_iran_s_oil_revenues_1974_quadrupled,"Government Finance — Iran's oil revenues, 1974 (quadrupled)",frus-iran-1973-76-oil-boom-era,,"Roughly half of GNP; unexpected surge of about $15 billion, of which about one-fourth went to expanded imports and less than another fourth to increased domestic development spending. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 121 (May 9 1975), PDF p.398]"
IRN,Iran,1975,2,billion USD,government_finance_proposed_non_negotiable_treasury_notes_to_iran_first_year_total,"Government Finance — Proposed non-negotiable Treasury notes to Iran, first-year total",frus-iran-1973-76-oil-boom-era,proposed,"First-year value of non-interest-bearing, non-negotiable Treasury notes under the proposed oil barter scheme. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 134 (June 16 1975), PDF p.448]"
IRN,Iran,1976,1,"billion barrels (total, not per year)",government_finance_proposed_us_strategic_petroleum_reserve_purchase_authority,Government Finance — Proposed US Strategic Petroleum Reserve purchase authority,frus-iran-1973-76-oil-boom-era,"proposed, March 1976","New legislative authority discussed with FEA Administrator Zarb. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 166 (March 13 1976), PDF p.541]"
IRN,Iran,1976,at least 1 (Zarb sought authority up to 1.6),billion USD,government_finance_proposed_cash_advance_to_iran_under_spr_deal,Government Finance — Proposed cash advance to Iran under SPR deal,frus-iran-1973-76-oil-boom-era,"proposed, June 1976","Would obviate Iranian foreign borrowing at about 9% interest. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 178 (June 5 1976), PDF p.575]"
IRN,Iran,1982,about 500,million USD,government_finance_estimated_fea_savings_from_a_fixed_price_spr_deal_with_iran,Government Finance — Estimated FEA savings from a fixed-price SPR deal with Iran,frus-iran-1973-76-oil-boom-era,"estimated saving, June 1976","If the assumed 5% average annual OPEC price increase holds. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 178 (June 5 1976), PDF p.575]"
IRN,Iran,1976,"125 billion (1976 projected), about 20% more than 1975",billion USD,government_finance_opec_countries_total_oil_export_earnings_1976_projection_vs_1975,"Government Finance — OPEC countries' total oil export earnings, 1976 projection vs 1975",frus-iran-1973-76-oil-boom-era,1976 (projected) vs 1975,"More than 400% more than OPEC earned in 1973 on a similar export volume. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 191 (Oct 30 1976), PDF p.613]"
IRQ,Iraq,1973,over 360,million USD,government_finance_ipc_tax_arrears_owed_to_iraq_offsetting_the_compensation,"Government Finance — IPC tax arrears owed to Iraq, offsetting the compensation",frus-iran-1973-76-oil-boom-era,March 1 1973 settlement,"[cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 205 (March 3 1973), PDF p.644]"
IRQ,Iraq,1975,900 million (1971) -> 2 billion (1975 projected),million/billion USD,government_finance_iraq_oil_revenue_1971_vs_1975_projection,"Government Finance — Iraq oil revenue, 1971 vs 1975 projection",frus-iran-1973-76-oil-boom-era,1971 vs 1975 (projected),"[cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 208 (March 31 1973), PDF p.651]"
IRQ,Iraq,1973,40,percent,government_finance_share_of_iraq_s_development_budget_devoted_to_agriculture_irrigation,Government Finance — Share of Iraq's development budget devoted to agriculture/irrigation,frus-iran-1973-76-oil-boom-era,as of 1973,"Per FAO assessment. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 208 (March 31 1973), PDF p.652]"
IRQ,Iraq,1973,one billion (record),billion USD,government_finance_iraq_s_investment_budget_record_level,"Government Finance — Iraq's investment budget, record level",frus-iran-1973-76-oil-boom-era,this year (1973),"Two-thirds financed from oil revenues. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 211 (April 10 1973), PDF p.659]"
IRQ,Iraq,1975,to 2,billion USD,government_finance_iraq_oil_revenue_expected_to_more_than_double,"Government Finance — Iraq oil revenue, expected to more than double",frus-iran-1973-76-oil-boom-era,expected by 1975,"Consistent with the projection in Document 208. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 211 (April 10 1973), PDF p.659]"
IRQ,Iraq,1974,180,million USD/year,government_finance_iraqi_kurds_projected_minimum_annual_budget,Government Finance — Iraqi Kurds' projected minimum annual budget,frus-iran-1973-76-oil-boom-era,as of Nov 1973,"Also needing massive food/materials support for a population of about 1.5 million. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 238 (Nov 4 1973), PDF p.713]"
IRQ,Iraq,1980,10 billion Iraqi dinars (approx. 34 billion USD),dinars / USD,government_finance_iraq_s_second_development_plan_total_planned_investment,Government Finance — Iraq's Second Development Plan total planned investment,frus-iran-1973-76-oil-boom-era,"Second Five-Year Plan, 1976-1980","Triple the amount invested during the 1970-1975 First Plan; 1975 oil revenues were treble the previous year's. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 317 (undated, c.1976), PDF p.921]"
IRQ,Iraq,1975,"58 percent (1966-1973, pre-nationalization) -> 74 percent (1973-1974) -> 89.9 percent (1974-1975)",percent,government_finance_oil_share_of_total_iraqi_government_revenues,Government Finance — Oil share of total Iraqi government revenues,frus-iran-1973-76-oil-boom-era,1966-73 vs 1973-74 vs 1974-75,"[cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 317 (undated, c.1976), PDF p.923]"
IRQ,Iraq,1975,"6.6 billion (1974, five times the 1972 level); 1975 estimated at 8.2 billion",billion USD,government_finance_iraq_oil_revenues,Government Finance — Iraq oil revenues,frus-iran-1973-76-oil-boom-era,1974 vs 1972 vs 1975 (estimate),"Estimate per Economist Intelligence Unit / OER intelligence memorandum. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 317 (undated, c.1976), PDF p.923]"
IRQ,Iraq,1975,1.3,billion USD,government_finance_iraq_s_gain_in_oil_revenues_1975_only_opec_member_to_show_a_sizeable_gain,"Government Finance — Iraq's gain in oil revenues, 1975 (only OPEC member to show a sizeable gain)",frus-iran-1973-76-oil-boom-era,,"Attributed to Iraq regaining lost markets by pricing below the official OPEC scale. [cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 317 (undated, c.1976), PDF p.924]"
IRQ,Iraq,1975,400 -> 600 Iraqi dinars,Iraqi dinars,government_finance_iraq_personal_income_tax_exemption_level_increase,Government Finance — Iraq personal income tax exemption level increase,frus-iran-1973-76-oil-boom-era,1974-1975 tax reform,"[cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 317 (undated, c.1976), PDF p.928]"
IRQ,Iraq,1975,300 -> 400 Iraqi dinars,Iraqi dinars,government_finance_iraq_property_tax_exemption_level_increase,Government Finance — Iraq property tax exemption level increase,frus-iran-1973-76-oil-boom-era,1974-1975 tax reform,"[cite: FRUS, 1969-1976, Volume XXVII, ""Iran; Iraq, 1973-1976"", Document 317 (undated, c.1976), PDF p.928]"
