country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
IRN,Iran,1961,14.2183,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1962,12.9775,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1963,14.8335,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1964,16.4653,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1965,15.9677,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1966,17.2066,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1967,17.8309,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1968,19.0093,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1969,19.3459,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1970,20.9802,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1971,19.6715,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1972,20.4652,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1973,19.7975,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1974,15.3711,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1975,20.9193,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1976,21.6848,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1977,21.4902,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1978,21.4902,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1979,25.7346,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1980,29.6951,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1981,26.1605,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1982,20.6691,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1983,19.819,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1984,18.3048,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1985,19.2592,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1986,22.7818,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1987,21.5455,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1988,21.3305,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1989,22.7084,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1990,22.9787,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1991,22.4204,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1992,23.191,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1993,20.852,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1994,19.7057,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1995,16.6882,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1996,15.177,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1997,16.6054,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1998,18.0219,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,1999,18.0433,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,2000,26.2498,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,2001,30.0796,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,2002,29.1008,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,2003,32.4333,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,2004,35.0711,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,2005,38.3481,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,2006,44.6317,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,2007,47.116,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,2008,45.2707,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,2009,49.1787,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,2010,52.0274,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,2011,49.304,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,2012,52.4766,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,2013,46.9307,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,2014,49.5868,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,2015,56.8333,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
IRN,Iran,2016,64.3704,percent,GFDD.DI.01,Private Credit by Deposit Money Banks to GDP,worldbank-gfdd-via-fred
