country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
ARG,Argentina,1960,82.08092,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1961,123.8994,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1962,128.9941,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1963,105.0209,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1964,97.68786,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1965,99.30716,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1966,103.9076,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1967,79.3996,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1968,86.59476,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1969,87.93103,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1970,85.24999,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1971,145,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1972,92.00001,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1973,92.49999,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1974,90,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1975,102.7586,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1976,85.28168,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1977,84.50293,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1978,88.18378,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1979,95.37874,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1980,105.22,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1981,153.9801,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1982,188.4511,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1983,162.6141,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1984,135.077,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1985,125.748,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1986,106.0678,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1987,115.7417,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1988,94.24664,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1989,272.2725,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1990,189.2819,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1991,162.5225,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1992,148.0638,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1993,120.3866,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1994,121.6127,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1995,124.4289,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1996,108.1511,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1997,98.3516,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1998,97.75047,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,1999,90.74091,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,2000,84.47463,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,2001,84.8335,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,2002,66.67413,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,2003,46.14908,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,2004,44.5161,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,2005,49.25088,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,2006,56.16525,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,2007,61.86273,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,2008,69.34873,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,2009,65.1235,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,2010,66.57224,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,2011,77.87972,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,2012,76.76775,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,2013,78.1691,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,2014,71.42828,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,2015,68.71815,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,2016,60.38981,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ARG,Argentina,2017,70.41665,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ESP,Spain,1972,97.07599,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ESP,Spain,1973,99.38725,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ESP,Spain,1974,104.4103,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ESP,Spain,1975,107.574,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ESP,Spain,1976,111.8384,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ESP,Spain,1977,114.9932,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ESP,Spain,1978,110.6682,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ESP,Spain,1979,107.0541,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ESP,Spain,1980,108.3656,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ESP,Spain,1981,109.755,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ESP,Spain,1982,111.5602,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ESP,Spain,1983,124.5924,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ESP,Spain,1984,123.463,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ESP,Spain,1985,119.5456,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ESP,Spain,1986,103.6237,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ESP,Spain,1987,112.78,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ESP,Spain,1988,124.4094,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ESP,Spain,1989,133.094,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
ESP,Spain,1990,127.7755,%,GFDD.SI.04,Bank credit to bank deposits (%),worldbank-gfdd/comparators-monetary-prices-2026-07-14
