country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,notes
IRN,Iran,1967,6000,vehicles/year,national_vehicle_production,National vehicle production,iran-automotive-industry:khodro-paykan-production-history,"Paykan sedan production begins 13 May 1967 at Iran National (later Iran Khodro), assembling Hillman Hunter CKD (complete-knock-down) kits exported by Rootes Group (UK); initial rate ~6,000 units/year [source: Wikipedia (Paykan; Automotive industry in Iran) -- secondary source, cross-referenced against World Bank 1972 narrative confirming Paykan's dominant market position by the early 1970s]"
IRN,Iran,1970,35000,vehicles/year,national_vehicle_production,National vehicle production,iran-automotive-industry:khodro-paykan-production-history,"National total motor vehicle production (all makes/models combined, not Paykan alone) [source: Wikipedia (Automotive industry in Iran) production-by-year table]"
IRN,Iran,1979,~100000,vehicles/year,national_vehicle_production,National vehicle production,iran-automotive-industry:khodro-paykan-production-history,"Approximate annual Paykan output reached by 1979 per secondary-source synthesis (pre-revolution peak) -- NOTE this figure is for Paykan specifically and is NOT directly reconcilable with the 1980 all-vehicle total of 161,000 below (different scope: single model vs. whole industry; also different source lineage) -- flagged as an unresolved discrepancy rather than silently picked [source: Web search synthesis of secondary automotive-history sources (bestsellingcarsblog.com; aronline.co.uk) -- lower confidence than the World Bank/Wikipedia table entries, not independently verified against a primary Iranian industrial statistics source]"
IRN,Iran,1980,161000,vehicles/year,national_vehicle_production,National vehicle production,iran-automotive-industry:khodro-paykan-production-history,"National total motor vehicle production (all makes/models combined) -- post-revolution, pre-war-disruption year [source: Wikipedia (Automotive industry in Iran) production-by-year table]"
IRN,Iran,1990,44665,vehicles/year,national_vehicle_production,National vehicle production,iran-automotive-industry:khodro-paykan-production-history,National total motor vehicle production -- illustrates the severity of the Iran-Iraq War-era production collapse relative to 1980 [source: Wikipedia (Automotive industry in Iran) production-by-year table]
IRN,Iran,2000,277985,vehicles/year,national_vehicle_production,National vehicle production,iran-automotive-industry:khodro-paykan-production-history,National total motor vehicle production -- post-war recovery well underway [source: Wikipedia (Automotive industry in Iran) production-by-year table]
IRN,Iran,2005,817200,vehicles/year,national_vehicle_production,National vehicle production,iran-automotive-industry:khodro-paykan-production-history,National total motor vehicle production; also the year final Paykan SEDAN production ended (2.3 million Paykans produced cumulatively 1967-2005); production line sold to Sudan's Khartoum Transport Company [source: Wikipedia (Paykan; Automotive industry in Iran)]
ARG,ARG,2019,314787,vehicles,industry__motor_vehicle_production,Industry motor vehicle production,oica/By-country-region-2024,
ARG,ARG,2021,434753,vehicles,industry__motor_vehicle_production,Industry motor vehicle production,oica/By-country-region-2024,
ARG,ARG,2022,536893,vehicles,industry__motor_vehicle_production,Industry motor vehicle production,oica/By-country-region-2024,
ARG,ARG,2023,610715,vehicles,industry__motor_vehicle_production,Industry motor vehicle production,oica/By-country-region-2024,
ARG,ARG,2024,506571,vehicles,industry__motor_vehicle_production,Industry motor vehicle production,oica/By-country-region-2024,
ESP,ESP,2019,2822632,vehicles,industry__motor_vehicle_production,Industry motor vehicle production,oica/By-country-region-2024,
ESP,ESP,2021,2098133,vehicles,industry__motor_vehicle_production,Industry motor vehicle production,oica/By-country-region-2024,
ESP,ESP,2022,2219436,vehicles,industry__motor_vehicle_production,Industry motor vehicle production,oica/By-country-region-2024,
ESP,ESP,2023,2451243,vehicles,industry__motor_vehicle_production,Industry motor vehicle production,oica/By-country-region-2024,
ESP,ESP,2024,2376504,vehicles,industry__motor_vehicle_production,Industry motor vehicle production,oica/By-country-region-2024,
IRN,IRN,2019,821060,vehicles,industry__motor_vehicle_production,Industry motor vehicle production,oica/By-country-region-2024,
