country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,original_period_label
IRN,Iran,1996,29.27,percent,population_6_years_non_resident_literacy_rate_pct_female,Population 6+ years — non_resident — literacy_rate_pct_female,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,46.72,percent,population_6_years_non_resident_literacy_rate_pct_male,Population 6+ years — non_resident — literacy_rate_pct_male,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,62.41,percent,population_6_years_rural_literacy_rate_pct_female,Population 6+ years — rural — literacy_rate_pct_female,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,76.74,percent,population_6_years_rural_literacy_rate_pct_male,Population 6+ years — rural — literacy_rate_pct_male,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,81.7,percent,population_6_years_urban_literacy_rate_pct_female,Population 6+ years — urban — literacy_rate_pct_female,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,89.56,percent,population_6_years_urban_literacy_rate_pct_male,Population 6+ years — urban — literacy_rate_pct_male,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,79.51,percent,population_6_years_urban_literacy_rate_pct_national_both_sexes,Population 6+ years — urban — literacy_rate_pct_national_both_sexes,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,52.8,percent,children_6_10_years_non_resident_literacy_rate_pct_female,Children (6-10 years) — non_resident — literacy_rate_pct_female,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,68.35,percent,children_6_10_years_non_resident_literacy_rate_pct_male,Children (6-10 years) — non_resident — literacy_rate_pct_male,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,86.76,percent,children_6_10_years_rural_literacy_rate_pct_female,Children (6-10 years) — rural — literacy_rate_pct_female,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,92.56,percent,children_6_10_years_rural_literacy_rate_pct_male,Children (6-10 years) — rural — literacy_rate_pct_male,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,95.34,percent,children_6_10_years_urban_literacy_rate_pct_female,Children (6-10 years) — urban — literacy_rate_pct_female,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,96.07,percent,children_6_10_years_urban_literacy_rate_pct_male,Children (6-10 years) — urban — literacy_rate_pct_male,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,93.09,percent,children_6_10_years_urban_literacy_rate_pct_national_both_sexes,Children (6-10 years) — urban — literacy_rate_pct_national_both_sexes,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,52.5,percent,adolescents_11_14_years_non_resident_literacy_rate_pct_female,Adolescents (11-14 years) — non_resident — literacy_rate_pct_female,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,71.73,percent,adolescents_11_14_years_non_resident_literacy_rate_pct_male,Adolescents (11-14 years) — non_resident — literacy_rate_pct_male,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,90.92,percent,adolescents_11_14_years_rural_literacy_rate_pct_female,Adolescents (11-14 years) — rural — literacy_rate_pct_female,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,96.08,percent,adolescents_11_14_years_rural_literacy_rate_pct_male,Adolescents (11-14 years) — rural — literacy_rate_pct_male,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,98.01,percent,adolescents_11_14_years_urban_literacy_rate_pct_female,Adolescents (11-14 years) — urban — literacy_rate_pct_female,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,98.49,percent,adolescents_11_14_years_urban_literacy_rate_pct_male,Adolescents (11-14 years) — urban — literacy_rate_pct_male,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,96.32,percent,adolescents_11_14_years_urban_literacy_rate_pct_national_both_sexes,Adolescents (11-14 years) — urban — literacy_rate_pct_national_both_sexes,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,35.64,percent,youth_15_24_years_non_resident_literacy_rate_pct_female,Youth (15-24 years) — non_resident — literacy_rate_pct_female,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,59.7,percent,youth_15_24_years_non_resident_literacy_rate_pct_male,Youth (15-24 years) — non_resident — literacy_rate_pct_male,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,82.81,percent,youth_15_24_years_rural_literacy_rate_pct_female,Youth (15-24 years) — rural — literacy_rate_pct_female,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,92.71,percent,youth_15_24_years_rural_literacy_rate_pct_male,Youth (15-24 years) — rural — literacy_rate_pct_male,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,95.64,percent,youth_15_24_years_urban_literacy_rate_pct_female,Youth (15-24 years) — urban — literacy_rate_pct_female,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,97.3,percent,youth_15_24_years_urban_literacy_rate_pct_male,Youth (15-24 years) — urban — literacy_rate_pct_male,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,92.86,percent,youth_15_24_years_urban_literacy_rate_pct_national_both_sexes,Youth (15-24 years) — urban — literacy_rate_pct_national_both_sexes,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,6.24,percent,middle_aged_25_64_years_non_resident_literacy_rate_pct_female,Middle-aged (25-64 years) — non_resident — literacy_rate_pct_female,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,24.97,percent,middle_aged_25_64_years_non_resident_literacy_rate_pct_male,Middle-aged (25-64 years) — non_resident — literacy_rate_pct_male,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,34.68,percent,middle_aged_25_64_years_rural_literacy_rate_pct_female,Middle-aged (25-64 years) — rural — literacy_rate_pct_female,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,61.11,percent,middle_aged_25_64_years_rural_literacy_rate_pct_male,Middle-aged (25-64 years) — rural — literacy_rate_pct_male,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,70.74,percent,middle_aged_25_64_years_urban_literacy_rate_pct_female,Middle-aged (25-64 years) — urban — literacy_rate_pct_female,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,85.47,percent,middle_aged_25_64_years_urban_literacy_rate_pct_male,Middle-aged (25-64 years) — urban — literacy_rate_pct_male,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,67.73,percent,middle_aged_25_64_years_urban_literacy_rate_pct_national_both_sexes,Middle-aged (25-64 years) — urban — literacy_rate_pct_national_both_sexes,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,0.21,percent,elderly_65_years_non_resident_literacy_rate_pct_female,Elderly (65+ years) — non_resident — literacy_rate_pct_female,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,5.95,percent,elderly_65_years_non_resident_literacy_rate_pct_male,Elderly (65+ years) — non_resident — literacy_rate_pct_male,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,1.83,percent,elderly_65_years_rural_literacy_rate_pct_female,Elderly (65+ years) — rural — literacy_rate_pct_female,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,15.08,percent,elderly_65_years_rural_literacy_rate_pct_male,Elderly (65+ years) — rural — literacy_rate_pct_male,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,16.55,percent,elderly_65_years_urban_literacy_rate_pct_female,Elderly (65+ years) — urban — literacy_rate_pct_female,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,41.92,percent,elderly_65_years_urban_literacy_rate_pct_male,Elderly (65+ years) — urban — literacy_rate_pct_male,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
IRN,Iran,1996,20.74,percent,elderly_65_years_urban_literacy_rate_pct_national_both_sexes,Elderly (65+ years) — urban — literacy_rate_pct_national_both_sexes,"SCI, 1375 (1996) Census, Selected Findings, Table H (ح, literacy by broad age group)",1375
