country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
IRN,Iran,2006,4.0,persons,average_household_size_eastern_azerbaijan,average_household_size — Eastern Azerbaijan,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2011,3.4,persons,average_household_size_eastern_azerbaijan,average_household_size — Eastern Azerbaijan,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2006,4.4,persons,average_household_size_western_azerbaijan,average_household_size — Western Azerbaijan,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2011,3.7,persons,average_household_size_western_azerbaijan,average_household_size — Western Azerbaijan,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2006,4.4,persons,average_household_size_ardebil,average_household_size — Ardebil,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2011,3.7,persons,average_household_size_ardebil,average_household_size — Ardebil,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2006,3.7,persons,average_household_size_esfahan,average_household_size — Esfahan,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2011,3.4,persons,average_household_size_esfahan,average_household_size — Esfahan,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2006,3.7,persons,average_household_size_alborz,average_household_size — Alborz,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2011,3.4,persons,average_household_size_alborz,average_household_size — Alborz,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2006,4.9,persons,average_household_size_ilam,average_household_size — Ilam,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2011,4.1,persons,average_household_size_ilam,average_household_size — Ilam,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2006,4.7,persons,average_household_size_booshehr,average_household_size — Booshehr,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2011,4.2,persons,average_household_size_booshehr,average_household_size — Booshehr,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2006,3.6,persons,average_household_size_tehran,average_household_size — Tehran,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2011,3.3,persons,average_household_size_tehran,average_household_size — Tehran,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2006,4.4,persons,average_household_size_chaharmahal_and_bakhtiari,average_household_size — Chaharmahal and Bakhtiari,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2011,3.8,persons,average_household_size_chaharmahal_and_bakhtiari,average_household_size — Chaharmahal and Bakhtiari,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2006,4.0,persons,average_household_size_south_khorassan,average_household_size — South Khorassan,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2011,3.6,persons,average_household_size_south_khorassan,average_household_size — South Khorassan,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2006,3.9,persons,average_household_size_razavi_khorassan,average_household_size — Razavi Khorassan,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2011,3.5,persons,average_household_size_razavi_khorassan,average_household_size — Razavi Khorassan,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2006,4.1,persons,average_household_size_north_khorassan,average_household_size — North Khorassan,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2011,3.6,persons,average_household_size_north_khorassan,average_household_size — North Khorassan,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2006,4.9,persons,average_household_size_khoozestan,average_household_size — Khoozestan,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2011,4.1,persons,average_household_size_khoozestan,average_household_size — Khoozestan,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2006,4.1,persons,average_household_size_zanjan,average_household_size — Zanjan,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2011,3.5,persons,average_household_size_zanjan,average_household_size — Zanjan,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2006,3.7,persons,average_household_size_semnan,average_household_size — Semnan,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2011,3.4,persons,average_household_size_semnan,average_household_size — Semnan,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2006,5.1,persons,average_household_size_sistan_and_baloochestan,average_household_size — Sistan and Baloochestan,"SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
