country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
IRN,Iran,2006,68901154,persons,citizenship_iranian_total_country,"Citizenship iranian, Total country","SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2011,73461474,persons,citizenship_iranian_total_country,"Citizenship iranian, Total country","SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2006,1211171,persons,citizenship_afghan_total_country,"Citizenship afghan, Total country","SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2011,1452513,persons,citizenship_afghan_total_country,"Citizenship afghan, Total country","SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2006,44094,persons,citizenship_iraqi_total_country,"Citizenship iraqi, Total country","SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2011,51506,persons,citizenship_iraqi_total_country,"Citizenship iraqi, Total country","SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2006,15455,persons,citizenship_pakistani_total_country,"Citizenship pakistani, Total country","SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2011,17731,persons,citizenship_pakistani_total_country,"Citizenship pakistani, Total country","SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2006,886,persons,citizenship_turkish_total_country,"Citizenship turkish, Total country","SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2011,1639,persons,citizenship_turkish_total_country,"Citizenship turkish, Total country","SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2006,32410,persons,citizenship_others_total_country,"Citizenship others, Total country","SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2011,24290,persons,citizenship_others_total_country,"Citizenship others, Total country","SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2006,290612,persons,citizenship_undeclared_total_country,"Citizenship undeclared, Total country","SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2011,140516,persons,citizenship_undeclared_total_country,"Citizenship undeclared, Total country","SCI, National Population and Housing Census 2011 (1390): Selected Findings (unofficial English translation)"
IRN,Iran,2006,68901154,persons,nationality_iran,Nationality iran,"SCI, Iran National Population and Housing Census 2016: Selected Results"
IRN,Iran,2011,73461474,persons,nationality_iran,Nationality iran,"SCI, Iran National Population and Housing Census 2016: Selected Results"
IRN,Iran,2016,78166822,persons,nationality_iran,Nationality iran,"SCI, Iran National Population and Housing Census 2016: Selected Results"
IRN,Iran,2006,1211171,persons,nationality_afghanistan,Nationality afghanistan,"SCI, Iran National Population and Housing Census 2016: Selected Results"
IRN,Iran,2011,1452513,persons,nationality_afghanistan,Nationality afghanistan,"SCI, Iran National Population and Housing Census 2016: Selected Results"
IRN,Iran,2016,1583979,persons,nationality_afghanistan,Nationality afghanistan,"SCI, Iran National Population and Housing Census 2016: Selected Results"
IRN,Iran,2006,44094,persons,nationality_iraq,Nationality iraq,"SCI, Iran National Population and Housing Census 2016: Selected Results"
IRN,Iran,2011,51506,persons,nationality_iraq,Nationality iraq,"SCI, Iran National Population and Housing Census 2016: Selected Results"
IRN,Iran,2016,34532,persons,nationality_iraq,Nationality iraq,"SCI, Iran National Population and Housing Census 2016: Selected Results"
IRN,Iran,2006,15455,persons,nationality_pakistan,Nationality pakistan,"SCI, Iran National Population and Housing Census 2016: Selected Results"
IRN,Iran,2011,17731,persons,nationality_pakistan,Nationality pakistan,"SCI, Iran National Population and Housing Census 2016: Selected Results"
IRN,Iran,2016,14320,persons,nationality_pakistan,Nationality pakistan,"SCI, Iran National Population and Housing Census 2016: Selected Results"
IRN,Iran,2006,886,persons,nationality_turkey,Nationality turkey,"SCI, Iran National Population and Housing Census 2016: Selected Results"
IRN,Iran,2011,1639,persons,nationality_turkey,Nationality turkey,"SCI, Iran National Population and Housing Census 2016: Selected Results"
IRN,Iran,2016,713,persons,nationality_turkey,Nationality turkey,"SCI, Iran National Population and Housing Census 2016: Selected Results"
IRN,Iran,2006,323022,persons,nationality_other_countries_and_unstated,Nationality other countries and unstated,"SCI, Iran National Population and Housing Census 2016: Selected Results"
IRN,Iran,2011,164806,persons,nationality_other_countries_and_unstated,Nationality other countries and unstated,"SCI, Iran National Population and Housing Census 2016: Selected Results"
IRN,Iran,2016,125904,persons,nationality_other_countries_and_unstated,Nationality other countries and unstated,"SCI, Iran National Population and Housing Census 2016: Selected Results"
