country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,original_period_label,notes
IRN,Iran,,0.99,per_1000_population,divorce_rate_mean,divorce_rate_mean,"Farzanegan & Gholipour (2018), 'Does Gold Price Matter for Divorce Rate in Iran?', MACIE Discussion Paper 2018/05, Philipps-Universitat Marburg",1980-2014,"Descriptive statistic (mean), Table 1"
IRN,Iran,,2.0,per_1000_population,divorce_rate_max,divorce_rate_max,"Farzanegan & Gholipour (2018), 'Does Gold Price Matter for Divorce Rate in Iran?', MACIE Discussion Paper 2018/05, Philipps-Universitat Marburg",1980-2014,"Descriptive statistic (max), Table 1"
IRN,Iran,,0.5,per_1000_population,divorce_rate_min,divorce_rate_min,"Farzanegan & Gholipour (2018), 'Does Gold Price Matter for Divorce Rate in Iran?', MACIE Discussion Paper 2018/05, Philipps-Universitat Marburg",1980-2014,"Descriptive statistic (min), Table 1"
IRN,Iran,,3631.97,1000_rials,real_gold_coin_price_mean,real_gold_coin_price_mean,"Farzanegan & Gholipour (2018), 'Does Gold Price Matter for Divorce Rate in Iran?', MACIE Discussion Paper 2018/05, Philipps-Universitat Marburg",1980-2014,"Descriptive statistic (mean), Table 1"
IRN,Iran,,6605.52,1000_rials,real_gold_coin_price_max,real_gold_coin_price_max,"Farzanegan & Gholipour (2018), 'Does Gold Price Matter for Divorce Rate in Iran?', MACIE Discussion Paper 2018/05, Philipps-Universitat Marburg",1980-2014,"Descriptive statistic (max), Table 1"
IRN,Iran,,2171.09,1000_rials,real_gold_coin_price_min,real_gold_coin_price_min,"Farzanegan & Gholipour (2018), 'Does Gold Price Matter for Divorce Rate in Iran?', MACIE Discussion Paper 2018/05, Philipps-Universitat Marburg",1980-2014,"Descriptive statistic (min), Table 1"
IRN,Iran,,0.61,share_0_to_1,female_literacy_rate_mean,female_literacy_rate_mean,"Farzanegan & Gholipour (2018), 'Does Gold Price Matter for Divorce Rate in Iran?', MACIE Discussion Paper 2018/05, Philipps-Universitat Marburg",1980-2014,"Descriptive statistic (mean), Table 1 (WEDU)"
IRN,Iran,,26.3,index_0_100,kof_social_globalization_index_mean,kof_social_globalization_index_mean,"Farzanegan & Gholipour (2018), 'Does Gold Price Matter for Divorce Rate in Iran?', MACIE Discussion Paper 2018/05, Philipps-Universitat Marburg",1980-2014,"Descriptive statistic (mean), Table 1 (SGLOB) -- Iran did not rank in top 100 countries on this index"
IRN,Iran,,0.0,percent,gdp_per_capita_growth_mean,gdp_per_capita_growth_mean,"Farzanegan & Gholipour (2018), 'Does Gold Price Matter for Divorce Rate in Iran?', MACIE Discussion Paper 2018/05, Philipps-Universitat Marburg",1980-2014,"Descriptive statistic (mean), Table 1 (GDPCG)"
IRN,Iran,,,years,mean_age_at_marriage_trend,mean_age_at_marriage_trend,"Farzanegan & Gholipour (2018), 'Does Gold Price Matter for Divorce Rate in Iran?', MACIE Discussion Paper 2018/05, Philipps-Universitat Marburg",1986-2011,"Median age of men and women getting married rose from 24 to 27 years of age over this period (narrative statement, not a year-by-year series in this source -- see marriage_age_at_first_marriage_1966_2006.csv in this same folder for the SCI census-based series)"
