country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
IRN,Iran,1991,609752,persons,total_number,total — number,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University), Table 24 (Pensioners Covered by the Social Security Organization and the Amounts Paid, 1370-1385/1991-2006)"
IRN,Iran,1991,238841,million rials,total_amount_million_rials,total — amount_million_rials,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University), Table 24 (Pensioners Covered by the Social Security Organization and the Amounts Paid, 1370-1385/1991-2006)"
IRN,Iran,1991,170455,persons,retirees_number,retirees — number,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University), Table 24 (Pensioners Covered by the Social Security Organization and the Amounts Paid, 1370-1385/1991-2006)"
IRN,Iran,1991,127869,million rials,retirees_amount_million_rials,retirees — amount_million_rials,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University), Table 24 (Pensioners Covered by the Social Security Organization and the Amounts Paid, 1370-1385/1991-2006)"
IRN,Iran,1991,13499,persons,disabled_work_related_number,disabled_work_related — number,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University), Table 24 (Pensioners Covered by the Social Security Organization and the Amounts Paid, 1370-1385/1991-2006)"
IRN,Iran,1991,5179,million rials,disabled_work_related_amount_million_rials,disabled_work_related — amount_million_rials,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University), Table 24 (Pensioners Covered by the Social Security Organization and the Amounts Paid, 1370-1385/1991-2006)"
IRN,Iran,1991,42482,persons,disabled_other_causes_number,disabled_other_causes — number,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University), Table 24 (Pensioners Covered by the Social Security Organization and the Amounts Paid, 1370-1385/1991-2006)"
IRN,Iran,1991,22515,million rials,disabled_other_causes_amount_million_rials,disabled_other_causes — amount_million_rials,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University), Table 24 (Pensioners Covered by the Social Security Organization and the Amounts Paid, 1370-1385/1991-2006)"
IRN,Iran,1991,383316,persons,survivors_number,survivors — number,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University), Table 24 (Pensioners Covered by the Social Security Organization and the Amounts Paid, 1370-1385/1991-2006)"
IRN,Iran,1991,83278,million rials,survivors_amount_million_rials,survivors — amount_million_rials,"Statistical Centre of Iran (SCI) / Ministry of Cooperatives Labour and Social Welfare, via Iran Data Portal (Syracuse University), Table 24 (Pensioners Covered by the Social Security Organization and the Amounts Paid, 1370-1385/1991-2006)"
