country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,original_period_label
IRN,Iran,1991,11090,million cubic meters,flared_gas,Flared gas,iran-data-portal,1370
IRN,Iran,1996,12737,million cubic meters,flared_gas,Flared gas,iran-data-portal,1375
IRN,Iran,2001,0,million cubic meters,flared_gas,Flared gas,iran-data-portal,1380
IRN,Iran,2002,0,million cubic meters,flared_gas,Flared gas,iran-data-portal,1381
IRN,Iran,2003,0,million cubic meters,flared_gas,Flared gas,iran-data-portal,1382
IRN,Iran,2004,0,million cubic meters,flared_gas,Flared gas,iran-data-portal,1383
IRN,Iran,2005,15837,million cubic meters,flared_gas,Flared gas,iran-data-portal,1384
IRN,Iran,2006,15851,million cubic meters,flared_gas,Flared gas,iran-data-portal,1385
IRN,Iran,1991,21900,million cubic meters,gas_delivered_to_national_iranian_gas_company,Gas delivered to National Iranian Gas Company,iran-data-portal,1370
IRN,Iran,1996,43220,million cubic meters,gas_delivered_to_national_iranian_gas_company,Gas delivered to National Iranian Gas Company,iran-data-portal,1375
IRN,Iran,2001,66007,million cubic meters,gas_delivered_to_national_iranian_gas_company,Gas delivered to National Iranian Gas Company,iran-data-portal,1380
IRN,Iran,2002,76011,million cubic meters,gas_delivered_to_national_iranian_gas_company,Gas delivered to National Iranian Gas Company,iran-data-portal,1381
IRN,Iran,2003,89350,million cubic meters,gas_delivered_to_national_iranian_gas_company,Gas delivered to National Iranian Gas Company,iran-data-portal,1382
IRN,Iran,2004,100097,million cubic meters,gas_delivered_to_national_iranian_gas_company,Gas delivered to National Iranian Gas Company,iran-data-portal,1383
IRN,Iran,2005,108288,million cubic meters,gas_delivered_to_national_iranian_gas_company,Gas delivered to National Iranian Gas Company,iran-data-portal,1384
IRN,Iran,2006,117256,million cubic meters,gas_delivered_to_national_iranian_gas_company,Gas delivered to National Iranian Gas Company,iran-data-portal,1385
IRN,Iran,1991,17385,million cubic meters,gas_injection,Gas injection,iran-data-portal,1370
IRN,Iran,1996,21404,million cubic meters,gas_injection,Gas injection,iran-data-portal,1375
IRN,Iran,2001,27521,million cubic meters,gas_injection,Gas injection,iran-data-portal,1380
IRN,Iran,2002,26407,million cubic meters,gas_injection,Gas injection,iran-data-portal,1381
IRN,Iran,2003,28430,million cubic meters,gas_injection,Gas injection,iran-data-portal,1382
IRN,Iran,2004,29298,million cubic meters,gas_injection,Gas injection,iran-data-portal,1383
IRN,Iran,2005,28163,million cubic meters,gas_injection,Gas injection,iran-data-portal,1384
IRN,Iran,2006,26663,million cubic meters,gas_injection,Gas injection,iran-data-portal,1385
