country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,original_period_label
IRN,Iran,2004,1078880,,fire_earned_premium_million_irr,Fire — earned_premium_million_irr,bimeh-markazi-iran:annualreport20052006,1383
IRN,Iran,2005,1468850,,fire_earned_premium_million_irr,Fire — earned_premium_million_irr,bimeh-markazi-iran:annualreport20052006,1384
IRN,Iran,2004,879594,,accident_earned_premium_million_irr,Accident — earned_premium_million_irr,bimeh-markazi-iran:annualreport20052006,1383
IRN,Iran,2005,1061479,,accident_earned_premium_million_irr,Accident — earned_premium_million_irr,bimeh-markazi-iran:annualreport20052006,1384
IRN,Iran,2004,2173301,,motor_p_d_earned_premium_million_irr,Motor (P.D.) — earned_premium_million_irr,bimeh-markazi-iran:annualreport20052006,1383
IRN,Iran,2005,2938289,,motor_p_d_earned_premium_million_irr,Motor (P.D.) — earned_premium_million_irr,bimeh-markazi-iran:annualreport20052006,1384
IRN,Iran,2004,6058813,,motor_t_p_l_earned_premium_million_irr,Motor (T.P.L.) — earned_premium_million_irr,bimeh-markazi-iran:annualreport20052006,1383
IRN,Iran,2005,8389297,,motor_t_p_l_earned_premium_million_irr,Motor (T.P.L.) — earned_premium_million_irr,bimeh-markazi-iran:annualreport20052006,1384
IRN,Iran,2004,288315,,aviation_earned_premium_million_irr,Aviation — earned_premium_million_irr,bimeh-markazi-iran:annualreport20052006,1383
IRN,Iran,2005,294834,,aviation_earned_premium_million_irr,Aviation — earned_premium_million_irr,bimeh-markazi-iran:annualreport20052006,1384
IRN,Iran,2004,380358,,engineering_earned_premium_million_irr,Engineering — earned_premium_million_irr,bimeh-markazi-iran:annualreport20052006,1383
IRN,Iran,2005,451092,,engineering_earned_premium_million_irr,Engineering — earned_premium_million_irr,bimeh-markazi-iran:annualreport20052006,1384
IRN,Iran,2004,1287623,,health_earned_premium_million_irr,Health — earned_premium_million_irr,bimeh-markazi-iran:annualreport20052006,1383
