country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,notes
IRN,Iran,1972,,,isfahan_steel_mill_aryamehr_national_iranian_steel_corporation_site_selection,Isfahan Steel Mill (Aryamehr / National Iranian Steel Corporation) — Site selection,wb1972industrial-isfahan-steel-and-idro-capital-goods,"Isfahan chosen; availability of water was the prime consideration, plus central location relative to raw materials (Kerman-area coal/iron ore) and markets (concentrated in Tehran area)"
IRN,Iran,1972,,,isfahan_steel_mill_financing,Isfahan Steel Mill — Financing,wb1972industrial-isfahan-steel-and-idro-capital-goods,"Financed via a gas-sales arrangement (barter) with the Soviet Union -- natural gas exports as repayment, attractive partly because no alternative export market for the gas existed at the time (LNG liquefaction not yet commercially developed)"
IRN,Iran,1972,,,isfahan_steel_mill_supplier_selection_context,Isfahan Steel Mill — Supplier selection context,wb1972industrial-isfahan-steel-and-idro-capital-goods,"USSR was reportedly the ONLY country prepared to supply an integrated iron and steelworks to Iran at the time of planning, limiting the Government's choice"
IRN,Iran,1972,,,isfahan_steel_mill_associated_town,Isfahan Steel Mill — Associated town,wb1972industrial-isfahan-steel-and-idro-capital-goods,Aryashar -- a new modern town built alongside the steel complex to serve it; construction cost of the town was NOT initially separated from the steel plant's cost in official accounting
IRN,Iran,1972,,,isfahan_steel_mill_stage_1_capacity_target_date,Isfahan Steel Mill — Stage 1 capacity/target date,wb1972industrial-isfahan-steel-and-idro-capital-goods,"750,000 tons of ingot steel by mid-1972 (planned output later limited to this figure rather than a more economically efficient 1.2 million tons, due to a binding constraint: limited supply of high-quality coking coal and water for coal washeries at the mines -- required somewhat uneconomic coal-mining procedures to hit the startup date)"
IRN,Iran,1972,,,isfahan_steel_mill_stage_2_capacity_target_date,Isfahan Steel Mill — Stage 2 capacity/target date,wb1972industrial-isfahan-steel-and-idro-capital-goods,2 to 2.5 million tons by 1975
IRN,Iran,1972,,,isfahan_steel_mill_stage_3_capacity_target_date,Isfahan Steel Mill — Stage 3 capacity/target date,wb1972industrial-isfahan-steel-and-idro-capital-goods,4 to 5 million tons by the end of the 1970s
IRN,Iran,1972,,,isfahan_steel_mill_site_infrastructure_ultimate_capacity,Isfahan Steel Mill — Site infrastructure ultimate capacity,wb1972industrial-isfahan-steel-and-idro-capital-goods,"Infrastructure at Isfahan estimated adequate for a mill of up to 7 million tons, though planning beyond 4-5 million tons was 'not yet advanced' as of this 1972 report"
IRN,Iran,1972,,,isfahan_steel_mill_equipment,Isfahan Steel Mill — Equipment,wb1972industrial-isfahan-steel-and-idro-capital-goods,"Conventional blast furnace with gas fuel injection, coke ovens and auxiliary by-product plant, L.D. (Linz-Donawitz) steel converters, continuous casting equipment, and rolling mills; bars/rods (light to heavy sections) rolled up to 2 million ton capacity, flat-rolled products envisaged only once capacity exceeds 2 million tons"
IRN,Iran,1972,,,isfahan_steel_mill_construction_status_as_of_1972_report,Isfahan Steel Mill — Construction status (as of 1972 report),wb1972industrial-isfahan-steel-and-idro-capital-goods,"Construction running according to schedule -- described as 'a formidable achievement' given enterprise size, attributed to successful collaboration between Iranian civil engineers in charge and their Russian technical advisers"
IRN,Iran,1972,,,isfahan_steel_mill_investment_cost_assessment,Isfahan Steel Mill — Investment cost assessment,wb1972industrial-isfahan-steel-and-idro-capital-goods,"Report states it was 'impossible accurately to assess the investment' for the first-stage plant specifically, because much of the initial investment was already made in preparation for the larger 2-million-plus-ton stages, and infrastructure/town costs were commingled with plant costs in the accounts -- no single all-in dollar figure given in this source"
IRN,Iran,1972,,,isfahan_steel_mill_competitive_positioning_risk_noted_by_report,Isfahan Steel Mill — Competitive positioning risk noted by report,wb1972industrial-isfahan-steel-and-idro-capital-goods,"Report flags that the Isfahan mill's initial product mix (bars/rods) would compete directly with existing private bar-rolling mills near Ahwaz, and notes it was 'perhaps unfortunate' the Isfahan mill did not begin with flat-rolled products given larger unmet demand for those"
IRN,Iran,1972,,,idro_industrial_development_and_renovation_organization_capital_goods_plants_aluminum_plant,IDRO (Industrial Development and Renovation Organization) capital-goods plants — Aluminum plant,wb1972industrial-isfahan-steel-and-idro-capital-goods,"Location: Arak. Partner: Reynolds (US) -- matches the 'Iralco' aluminum smelter also documented independently in the USGS Minerals Yearbook 1975 chapter (same round, see usgs-minerals-yearbook/historical-pre1990-volumes/iran-production-extraction/)"
IRN,Iran,1972,,,idro_capital_goods_plants_heavy_engineering_complex,IDRO capital-goods plants — Heavy engineering complex,wb1972industrial-isfahan-steel-and-idro-capital-goods,Location: Arak. Same financing arrangement as the steel complex (i.e. USSR barter financing)
