country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,notes
IRN,Iran,2000,0,millions_current_USD,wb_knomad_mri_aggregate_remittance_inflows_world_aggregate,WB_KNOMAD_MRI_aggregate_remittance_inflows — World (aggregate),worldbank-knomad,"World Bank KNOMAD aggregate remittance-INFLOW estimate for Iran -- reported as an explicit 0 for every year 2000-2023, consistent with WDI's BX.TRF.PWKR.CD being null for Iran. Reflects exclusion from formal SWIFT-based channels under sanctions, not necessarily zero informal (hawala) transfer activity."
IRN,Iran,2001,0,millions_current_USD,wb_knomad_mri_aggregate_remittance_inflows_world_aggregate,WB_KNOMAD_MRI_aggregate_remittance_inflows — World (aggregate),worldbank-knomad,"World Bank KNOMAD aggregate remittance-INFLOW estimate for Iran -- reported as an explicit 0 for every year 2000-2023, consistent with WDI's BX.TRF.PWKR.CD being null for Iran. Reflects exclusion from formal SWIFT-based channels under sanctions, not necessarily zero informal (hawala) transfer activity."
IRN,Iran,2002,0,millions_current_USD,wb_knomad_mri_aggregate_remittance_inflows_world_aggregate,WB_KNOMAD_MRI_aggregate_remittance_inflows — World (aggregate),worldbank-knomad,"World Bank KNOMAD aggregate remittance-INFLOW estimate for Iran -- reported as an explicit 0 for every year 2000-2023, consistent with WDI's BX.TRF.PWKR.CD being null for Iran. Reflects exclusion from formal SWIFT-based channels under sanctions, not necessarily zero informal (hawala) transfer activity."
IRN,Iran,2003,0,millions_current_USD,wb_knomad_mri_aggregate_remittance_inflows_world_aggregate,WB_KNOMAD_MRI_aggregate_remittance_inflows — World (aggregate),worldbank-knomad,"World Bank KNOMAD aggregate remittance-INFLOW estimate for Iran -- reported as an explicit 0 for every year 2000-2023, consistent with WDI's BX.TRF.PWKR.CD being null for Iran. Reflects exclusion from formal SWIFT-based channels under sanctions, not necessarily zero informal (hawala) transfer activity."
IRN,Iran,2004,0,millions_current_USD,wb_knomad_mri_aggregate_remittance_inflows_world_aggregate,WB_KNOMAD_MRI_aggregate_remittance_inflows — World (aggregate),worldbank-knomad,"World Bank KNOMAD aggregate remittance-INFLOW estimate for Iran -- reported as an explicit 0 for every year 2000-2023, consistent with WDI's BX.TRF.PWKR.CD being null for Iran. Reflects exclusion from formal SWIFT-based channels under sanctions, not necessarily zero informal (hawala) transfer activity."
IRN,Iran,2005,0,millions_current_USD,wb_knomad_mri_aggregate_remittance_inflows_world_aggregate,WB_KNOMAD_MRI_aggregate_remittance_inflows — World (aggregate),worldbank-knomad,"World Bank KNOMAD aggregate remittance-INFLOW estimate for Iran -- reported as an explicit 0 for every year 2000-2023, consistent with WDI's BX.TRF.PWKR.CD being null for Iran. Reflects exclusion from formal SWIFT-based channels under sanctions, not necessarily zero informal (hawala) transfer activity."
IRN,Iran,2006,0,millions_current_USD,wb_knomad_mri_aggregate_remittance_inflows_world_aggregate,WB_KNOMAD_MRI_aggregate_remittance_inflows — World (aggregate),worldbank-knomad,"World Bank KNOMAD aggregate remittance-INFLOW estimate for Iran -- reported as an explicit 0 for every year 2000-2023, consistent with WDI's BX.TRF.PWKR.CD being null for Iran. Reflects exclusion from formal SWIFT-based channels under sanctions, not necessarily zero informal (hawala) transfer activity."
IRN,Iran,2007,0,millions_current_USD,wb_knomad_mri_aggregate_remittance_inflows_world_aggregate,WB_KNOMAD_MRI_aggregate_remittance_inflows — World (aggregate),worldbank-knomad,"World Bank KNOMAD aggregate remittance-INFLOW estimate for Iran -- reported as an explicit 0 for every year 2000-2023, consistent with WDI's BX.TRF.PWKR.CD being null for Iran. Reflects exclusion from formal SWIFT-based channels under sanctions, not necessarily zero informal (hawala) transfer activity."
IRN,Iran,2008,0,millions_current_USD,wb_knomad_mri_aggregate_remittance_inflows_world_aggregate,WB_KNOMAD_MRI_aggregate_remittance_inflows — World (aggregate),worldbank-knomad,"World Bank KNOMAD aggregate remittance-INFLOW estimate for Iran -- reported as an explicit 0 for every year 2000-2023, consistent with WDI's BX.TRF.PWKR.CD being null for Iran. Reflects exclusion from formal SWIFT-based channels under sanctions, not necessarily zero informal (hawala) transfer activity."
IRN,Iran,2009,0,millions_current_USD,wb_knomad_mri_aggregate_remittance_inflows_world_aggregate,WB_KNOMAD_MRI_aggregate_remittance_inflows — World (aggregate),worldbank-knomad,"World Bank KNOMAD aggregate remittance-INFLOW estimate for Iran -- reported as an explicit 0 for every year 2000-2023, consistent with WDI's BX.TRF.PWKR.CD being null for Iran. Reflects exclusion from formal SWIFT-based channels under sanctions, not necessarily zero informal (hawala) transfer activity."
