country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
IRN,Iran,2005,9114.0,thousand DWT,total_fleet,Total fleet,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)"
IRN,Iran,2010,1333.3,thousand DWT,total_fleet,Total fleet,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)"
IRN,Iran,2015,4613.0,thousand DWT,total_fleet,Total fleet,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)"
IRN,Iran,2024,21120.4,thousand DWT,total_fleet,Total fleet,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)"
IRN,Iran,2005,6134.0,thousand DWT,oil_tankers,Oil tankers,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)"
IRN,Iran,2010,120.3,thousand DWT,oil_tankers,Oil tankers,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)"
IRN,Iran,2015,403.6,thousand DWT,oil_tankers,Oil tankers,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)"
IRN,Iran,2024,16221.6,thousand DWT,oil_tankers,Oil tankers,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)"
IRN,Iran,2005,1703.0,thousand DWT,bulk_carriers,Bulk carriers,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)"
IRN,Iran,2010,453.4,thousand DWT,bulk_carriers,Bulk carriers,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)"
IRN,Iran,2015,2174.0,thousand DWT,bulk_carriers,Bulk carriers,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)"
IRN,Iran,2024,2009.7,thousand DWT,bulk_carriers,Bulk carriers,"UNCTADstat Maritime Country Profile: Iran, National Fleet — Carrying Capacity by Type of Ship table (Clarksons Research, national-flag fleet, vessels 100 GT+, as of 1 January of stated year)"
