country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,notes
TUR,Turkey,2014,38816,"metric tons, gross weight",abrasives_emery,"Abrasives, emery",usgs-minerals-yearbook:MYB3-2017-18,
TUR,Turkey,2015,75538,"metric tons, gross weight",abrasives_emery,"Abrasives, emery",usgs-minerals-yearbook:MYB3-2019,
TUR,Turkey,2016,89756,"metric tons, gross weight",abrasives_emery,"Abrasives, emery",usgs-minerals-yearbook:MYB3-2019,
TUR,Turkey,2017,107951,"metric tons, gross weight",abrasives_emery,"Abrasives, emery",usgs-minerals-yearbook:MYB3-2020-21,
TUR,Turkey,2018,181743,"metric tons, gross weight",abrasives_emery,"Abrasives, emery",usgs-minerals-yearbook:MYB3-2022,
TUR,Turkey,2019,106540,"metric tons, gross weight",abrasives_emery,"Abrasives, emery",usgs-minerals-yearbook:MYB3-2022,
TUR,Turkey,2020,48674,"metric tons, gross weight",abrasives_emery,"Abrasives, emery",usgs-minerals-yearbook:MYB3-2022,
TUR,Turkey,2021,114213,"metric tons, gross weight",abrasives_emery,"Abrasives, emery",usgs-minerals-yearbook:MYB3-2022,
TUR,Turkey,2022,284076,"metric tons, gross weight",abrasives_emery,"Abrasives, emery",usgs-minerals-yearbook:MYB3-2022,
TUR,Turkey,2018,335473,"metric tons, gross weight",barite_crude_and_ground,"Barite, crude and ground",usgs-minerals-yearbook:MYB3-2022,
TUR,Turkey,2019,299000,"metric tons, gross weight",barite_crude_and_ground,"Barite, crude and ground",usgs-minerals-yearbook:MYB3-2022,flag=e
TUR,Turkey,2020,283161,"metric tons, gross weight",barite_crude_and_ground,"Barite, crude and ground",usgs-minerals-yearbook:MYB3-2022,
TUR,Turkey,2021,256076,"metric tons, gross weight",barite_crude_and_ground,"Barite, crude and ground",usgs-minerals-yearbook:MYB3-2022,
TUR,Turkey,2022,343322,"metric tons, gross weight",barite_crude_and_ground,"Barite, crude and ground",usgs-minerals-yearbook:MYB3-2022,
TUR,Turkey,2014,320754,"metric tons, gross weight",barite_ground,"Barite, ground",usgs-minerals-yearbook:MYB3-2017-18,
TUR,Turkey,2015,209097,"metric tons, gross weight",barite_ground,"Barite, ground",usgs-minerals-yearbook:MYB3-2019,
TUR,Turkey,2016,105573,"metric tons, gross weight",barite_ground,"Barite, ground",usgs-minerals-yearbook:MYB3-2019,
TUR,Turkey,2017,310667,"metric tons, gross weight",barite_ground,"Barite, ground",usgs-minerals-yearbook:MYB3-2020-21,
TUR,Turkey,2018,335473,"metric tons, gross weight",barite_ground,"Barite, ground",usgs-minerals-yearbook:MYB3-2020-21,
TUR,Turkey,2019,299000,"metric tons, gross weight",barite_ground,"Barite, ground",usgs-minerals-yearbook:MYB3-2020-21,"flag=r, e"
TUR,Turkey,2020,283161,"metric tons, gross weight",barite_ground,"Barite, ground",usgs-minerals-yearbook:MYB3-2020-21,
TUR,Turkey,2021,256076,"metric tons, gross weight",barite_ground,"Barite, ground",usgs-minerals-yearbook:MYB3-2020-21,
TUR,Turkey,2014,1870000,"metric tons, gross weight",boron_concentrate,"Boron, Concentrate",usgs-minerals-yearbook:MYB3-2017-18,flag=r
TUR,Turkey,2015,1840000,"metric tons, gross weight",boron_concentrate,"Boron, Concentrate",usgs-minerals-yearbook:MYB3-2019,
TUR,Turkey,2016,1607208,"metric tons, gross weight",boron_concentrate,"Boron, Concentrate",usgs-minerals-yearbook:MYB3-2019,
TUR,Turkey,2017,1640000,"metric tons, gross weight",boron_concentrate,"Boron, Concentrate",usgs-minerals-yearbook:MYB3-2020-21,
TUR,Turkey,2018,2200000,"metric tons, gross weight",boron_concentrate,"Boron, Concentrate",usgs-minerals-yearbook:MYB3-2022,
TUR,Turkey,2019,1890000,"metric tons, gross weight",boron_concentrate,"Boron, Concentrate",usgs-minerals-yearbook:MYB3-2022,
TUR,Turkey,2020,1560000,"metric tons, gross weight",boron_concentrate,"Boron, Concentrate",usgs-minerals-yearbook:MYB3-2022,flag=e
TUR,Turkey,2021,2540000,"metric tons, gross weight",boron_concentrate,"Boron, Concentrate",usgs-minerals-yearbook:MYB3-2022,
TUR,Turkey,2022,2000000,"metric tons, gross weight",boron_concentrate,"Boron, Concentrate",usgs-minerals-yearbook:MYB3-2022,flag=e
TUR,Turkey,2014,7309708,"metric tons, gross weight",boron_crude_ore,"Boron, Crude ore",usgs-minerals-yearbook:MYB3-2017-18,flag=e
TUR,Turkey,2015,5071896,"metric tons, gross weight",boron_crude_ore,"Boron, Crude ore",usgs-minerals-yearbook:MYB3-2019,
TUR,Turkey,2016,4814553,"metric tons, gross weight",boron_crude_ore,"Boron, Crude ore",usgs-minerals-yearbook:MYB3-2019,
TUR,Turkey,2017,5801459,"metric tons, gross weight",boron_crude_ore,"Boron, Crude ore",usgs-minerals-yearbook:MYB3-2020-21,
TUR,Turkey,2018,7937461,"metric tons, gross weight",boron_crude_ore,"Boron, Crude ore",usgs-minerals-yearbook:MYB3-2022,
TUR,Turkey,2019,10594629,"metric tons, gross weight",boron_crude_ore,"Boron, Crude ore",usgs-minerals-yearbook:MYB3-2022,
TUR,Turkey,2020,6556072,"metric tons, gross weight",boron_crude_ore,"Boron, Crude ore",usgs-minerals-yearbook:MYB3-2022,
TUR,Turkey,2021,9435580,"metric tons, gross weight",boron_crude_ore,"Boron, Crude ore",usgs-minerals-yearbook:MYB3-2022,
TUR,Turkey,2022,5703453,"metric tons, gross weight",boron_crude_ore,"Boron, Crude ore",usgs-minerals-yearbook:MYB3-2022,
TUR,Turkey,2014,1995000,"metric tons, gross weight",boron_refinery_refined_borates,"Boron, Refinery, refined borates",usgs-minerals-yearbook:MYB3-2017-18,
TUR,Turkey,2015,1839000,"metric tons, gross weight",boron_refinery_refined_borates,"Boron, Refinery, refined borates",usgs-minerals-yearbook:MYB3-2019,
TUR,Turkey,2016,1831000,"metric tons, gross weight",boron_refinery_refined_borates,"Boron, Refinery, refined borates",usgs-minerals-yearbook:MYB3-2019,
TUR,Turkey,2017,2025000,"metric tons, gross weight",boron_refinery_refined_borates,"Boron, Refinery, refined borates",usgs-minerals-yearbook:MYB3-2020-21,
TUR,Turkey,2018,2432000,"metric tons, gross weight",boron_refinery_refined_borates,"Boron, Refinery, refined borates",usgs-minerals-yearbook:MYB3-2022,
TUR,Turkey,2019,2040000,"metric tons, gross weight",boron_refinery_refined_borates,"Boron, Refinery, refined borates",usgs-minerals-yearbook:MYB3-2022,
TUR,Turkey,2020,1680000,"metric tons, gross weight",boron_refinery_refined_borates,"Boron, Refinery, refined borates",usgs-minerals-yearbook:MYB3-2022,
TUR,Turkey,2021,2540000,"metric tons, gross weight",boron_refinery_refined_borates,"Boron, Refinery, refined borates",usgs-minerals-yearbook:MYB3-2022,
TUR,Turkey,2022,2590000,"metric tons, gross weight",boron_refinery_refined_borates,"Boron, Refinery, refined borates",usgs-minerals-yearbook:MYB3-2022,
TUR,Turkey,2014,71239,thousand metric tons,cement_hydraulic,"Cement, hydraulic",usgs-minerals-yearbook:MYB3-2017-18,
TUR,Turkey,2015,71419,thousand metric tons,cement_hydraulic,"Cement, hydraulic",usgs-minerals-yearbook:MYB3-2019,
TUR,Turkey,2016,75403,thousand metric tons,cement_hydraulic,"Cement, hydraulic",usgs-minerals-yearbook:MYB3-2019,
TUR,Turkey,2017,80552,thousand metric tons,cement_hydraulic,"Cement, hydraulic",usgs-minerals-yearbook:MYB3-2020-21,
TUR,Turkey,2018,72544,thousand metric tons,cement_hydraulic,"Cement, hydraulic",usgs-minerals-yearbook:MYB3-2022,
TUR,Turkey,2019,56966,thousand metric tons,cement_hydraulic,"Cement, hydraulic",usgs-minerals-yearbook:MYB3-2022,
TUR,Turkey,2020,72299,thousand metric tons,cement_hydraulic,"Cement, hydraulic",usgs-minerals-yearbook:MYB3-2022,
TUR,Turkey,2021,78495,thousand metric tons,cement_hydraulic,"Cement, hydraulic",usgs-minerals-yearbook:MYB3-2022,flag=r
TUR,Turkey,2022,73708,thousand metric tons,cement_hydraulic,"Cement, hydraulic",usgs-minerals-yearbook:MYB3-2022,
