country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,original_period_label
IRN,Iran,,51870,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_net_profit,"AIOC Profits, UK Tax & Iran Royalty Payments, Net Profit",usbm1963-aioc-profits-royalties-1910-1951,1910-32
IRN,Iran,,7700,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_uk_taxes,"AIOC Profits, UK Tax & Iran Royalty Payments, UK Taxes",usbm1963-aioc-profits-royalties-1910-1951,1910-32
IRN,Iran,,12498,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_royalty_payments_to_iran,"AIOC Profits, UK Tax & Iran Royalty Payments, Royalty Payments to Iran",usbm1963-aioc-profits-royalties-1910-1951,1910-32
IRN,Iran,1933,2644,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_net_profit,"AIOC Profits, UK Tax & Iran Royalty Payments, Net Profit",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1933,305,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_uk_taxes,"AIOC Profits, UK Tax & Iran Royalty Payments, UK Taxes",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1933,1812,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_royalty_payments_to_iran,"AIOC Profits, UK Tax & Iran Royalty Payments, Royalty Payments to Iran",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1934,3183,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_net_profit,"AIOC Profits, UK Tax & Iran Royalty Payments, Net Profit",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1934,512,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_uk_taxes,"AIOC Profits, UK Tax & Iran Royalty Payments, UK Taxes",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1934,2190,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_royalty_payments_to_iran,"AIOC Profits, UK Tax & Iran Royalty Payments, Royalty Payments to Iran",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1935,3519,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_net_profit,"AIOC Profits, UK Tax & Iran Royalty Payments, Net Profit",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1935,409,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_uk_taxes,"AIOC Profits, UK Tax & Iran Royalty Payments, UK Taxes",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1935,2221,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_royalty_payments_to_iran,"AIOC Profits, UK Tax & Iran Royalty Payments, Royalty Payments to Iran",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1936,6123,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_net_profit,"AIOC Profits, UK Tax & Iran Royalty Payments, Net Profit",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1936,911,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_uk_taxes,"AIOC Profits, UK Tax & Iran Royalty Payments, UK Taxes",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1936,2580,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_royalty_payments_to_iran,"AIOC Profits, UK Tax & Iran Royalty Payments, Royalty Payments to Iran",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1937,7455,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_net_profit,"AIOC Profits, UK Tax & Iran Royalty Payments, Net Profit",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1937,1652,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_uk_taxes,"AIOC Profits, UK Tax & Iran Royalty Payments, UK Taxes",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1937,3545,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_royalty_payments_to_iran,"AIOC Profits, UK Tax & Iran Royalty Payments, Royalty Payments to Iran",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1938,6109,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_net_profit,"AIOC Profits, UK Tax & Iran Royalty Payments, Net Profit",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1938,1157,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_uk_taxes,"AIOC Profits, UK Tax & Iran Royalty Payments, UK Taxes",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1938,3307,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_royalty_payments_to_iran,"AIOC Profits, UK Tax & Iran Royalty Payments, Royalty Payments to Iran",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1939,2986,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_net_profit,"AIOC Profits, UK Tax & Iran Royalty Payments, Net Profit",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1939,1956,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_uk_taxes,"AIOC Profits, UK Tax & Iran Royalty Payments, UK Taxes",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1939,4271,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_royalty_payments_to_iran,"AIOC Profits, UK Tax & Iran Royalty Payments, Royalty Payments to Iran",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1940,2842,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_net_profit,"AIOC Profits, UK Tax & Iran Royalty Payments, Net Profit",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1940,2975,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_uk_taxes,"AIOC Profits, UK Tax & Iran Royalty Payments, UK Taxes",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1940,4000,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_royalty_payments_to_iran,"AIOC Profits, UK Tax & Iran Royalty Payments, Royalty Payments to Iran",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1941,3292,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_net_profit,"AIOC Profits, UK Tax & Iran Royalty Payments, Net Profit",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1941,2921,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_uk_taxes,"AIOC Profits, UK Tax & Iran Royalty Payments, UK Taxes",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1941,4000,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_royalty_payments_to_iran,"AIOC Profits, UK Tax & Iran Royalty Payments, Royalty Payments to Iran",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1942,7790,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_net_profit,"AIOC Profits, UK Tax & Iran Royalty Payments, Net Profit",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1942,4918,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_uk_taxes,"AIOC Profits, UK Tax & Iran Royalty Payments, UK Taxes",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1942,4000,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_royalty_payments_to_iran,"AIOC Profits, UK Tax & Iran Royalty Payments, Royalty Payments to Iran",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1943,5639,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_net_profit,"AIOC Profits, UK Tax & Iran Royalty Payments, Net Profit",usbm1963-aioc-profits-royalties-1910-1951,
IRN,Iran,1943,2799,GBP thousand,aioc_profits_uk_tax_iran_royalty_payments_uk_taxes,"AIOC Profits, UK Tax & Iran Royalty Payments, UK Taxes",usbm1963-aioc-profits-royalties-1910-1951,
