country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,original_period_label,computed,notes
IRN,Iran,1964,24.7,billion rials,sight_deposits,Sight Deposits,wb1971-table6.5-bank-deposits-private-sector,1963/64,false,
IRN,Iran,1964,0.3261,current US$ (computed),sight_deposits.USD_NOMINAL,"Sight Deposits (computed, nominal US$)",wb1971-table6.5-bank-deposits-private-sector,1963/64,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532)"
IRN,Iran,1964,1.3792,constant 2015 US$ (computed),sight_deposits.USD_REAL_2015,"Sight Deposits (computed, real 2015 US$)",wb1971-table6.5-bank-deposits-private-sector,1963/64,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532)"
IRN,Iran,1965,26.2,billion rials,sight_deposits,Sight Deposits,wb1971-table6.5-bank-deposits-private-sector,1964/65,false,
IRN,Iran,1965,0.3459,current US$ (computed),sight_deposits.USD_NOMINAL,"Sight Deposits (computed, nominal US$)",wb1971-table6.5-bank-deposits-private-sector,1964/65,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
IRN,Iran,1965,1.4333,constant 2015 US$ (computed),sight_deposits.USD_REAL_2015,"Sight Deposits (computed, real 2015 US$)",wb1971-table6.5-bank-deposits-private-sector,1964/65,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
IRN,Iran,1966,32.7,billion rials,sight_deposits,Sight Deposits,wb1971-table6.5-bank-deposits-private-sector,1965/66,false,
IRN,Iran,1966,0.4317,current US$ (computed),sight_deposits.USD_NOMINAL,"Sight Deposits (computed, nominal US$)",wb1971-table6.5-bank-deposits-private-sector,1965/66,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
IRN,Iran,1966,1.7955,constant 2015 US$ (computed),sight_deposits.USD_REAL_2015,"Sight Deposits (computed, real 2015 US$)",wb1971-table6.5-bank-deposits-private-sector,1965/66,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
IRN,Iran,1967,37.6,billion rials,sight_deposits,Sight Deposits,wb1971-table6.5-bank-deposits-private-sector,1966/67,false,
IRN,Iran,1967,0.4964,current US$ (computed),sight_deposits.USD_NOMINAL,"Sight Deposits (computed, nominal US$)",wb1971-table6.5-bank-deposits-private-sector,1966/67,true,"computed via IRN official FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
