country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,original_period_label
IRN,Iran,1964,69.8,million metric tons,oil_exports_volume_total,Oil Exports (Volume) — Total,wb1971-table9-oil-exports-and-revenues,1963/64
IRN,Iran,1965,79.4,million metric tons,oil_exports_volume_total,Oil Exports (Volume) — Total,wb1971-table9-oil-exports-and-revenues,1964/65
IRN,Iran,1966,88.3,million metric tons,oil_exports_volume_total,Oil Exports (Volume) — Total,wb1971-table9-oil-exports-and-revenues,1965/66
IRN,Iran,1967,99.8,million metric tons,oil_exports_volume_total,Oil Exports (Volume) — Total,wb1971-table9-oil-exports-and-revenues,1966/67
IRN,Iran,1968,122.3,million metric tons,oil_exports_volume_total,Oil Exports (Volume) — Total,wb1971-table9-oil-exports-and-revenues,1967/68
IRN,Iran,1969,133.8,million metric tons,oil_exports_volume_total,Oil Exports (Volume) — Total,wb1971-table9-oil-exports-and-revenues,1968/69
IRN,Iran,1970,158.9,million metric tons,oil_exports_volume_total,Oil Exports (Volume) — Total,wb1971-table9-oil-exports-and-revenues,1969/70
IRN,Iran,1971,183.7,million metric tons,oil_exports_volume_total,Oil Exports (Volume) — Total,wb1971-table9-oil-exports-and-revenues,1970/71 (preliminary estimate)
IRN,Iran,1964,54.5,million metric tons,oil_exports_volume_crude,Oil Exports (Volume) — Crude,wb1971-table9-oil-exports-and-revenues,1963/64
IRN,Iran,1965,64.4,million metric tons,oil_exports_volume_crude,Oil Exports (Volume) — Crude,wb1971-table9-oil-exports-and-revenues,1964/65
IRN,Iran,1966,73.3,million metric tons,oil_exports_volume_crude,Oil Exports (Volume) — Crude,wb1971-table9-oil-exports-and-revenues,1965/66
IRN,Iran,1967,84.8,million metric tons,oil_exports_volume_crude,Oil Exports (Volume) — Crude,wb1971-table9-oil-exports-and-revenues,1966/67
IRN,Iran,1968,107.3,million metric tons,oil_exports_volume_crude,Oil Exports (Volume) — Crude,wb1971-table9-oil-exports-and-revenues,1967/68
IRN,Iran,1969,117.6,million metric tons,oil_exports_volume_crude,Oil Exports (Volume) — Crude,wb1971-table9-oil-exports-and-revenues,1968/69
IRN,Iran,1970,142.6,million metric tons,oil_exports_volume_crude,Oil Exports (Volume) — Crude,wb1971-table9-oil-exports-and-revenues,1969/70
IRN,Iran,1971,166.7,million metric tons,oil_exports_volume_crude,Oil Exports (Volume) — Crude,wb1971-table9-oil-exports-and-revenues,1970/71 (preliminary estimate)
IRN,Iran,1964,15.3,million metric tons,oil_exports_volume_products,Oil Exports (Volume) — Products,wb1971-table9-oil-exports-and-revenues,1963/64
IRN,Iran,1965,15.1,million metric tons,oil_exports_volume_products,Oil Exports (Volume) — Products,wb1971-table9-oil-exports-and-revenues,1964/65
IRN,Iran,1966,15.0,million metric tons,oil_exports_volume_products,Oil Exports (Volume) — Products,wb1971-table9-oil-exports-and-revenues,1965/66
IRN,Iran,1967,15.0,million metric tons,oil_exports_volume_products,Oil Exports (Volume) — Products,wb1971-table9-oil-exports-and-revenues,1966/67
IRN,Iran,1968,15.0,million metric tons,oil_exports_volume_products,Oil Exports (Volume) — Products,wb1971-table9-oil-exports-and-revenues,1967/68
IRN,Iran,1969,16.2,million metric tons,oil_exports_volume_products,Oil Exports (Volume) — Products,wb1971-table9-oil-exports-and-revenues,1968/69
IRN,Iran,1970,16.3,million metric tons,oil_exports_volume_products,Oil Exports (Volume) — Products,wb1971-table9-oil-exports-and-revenues,1969/70
IRN,Iran,1971,17.0,million metric tons,oil_exports_volume_products,Oil Exports (Volume) — Products,wb1971-table9-oil-exports-and-revenues,1970/71 (preliminary estimate)
IRN,Iran,1964,388.0,million US dollars,oil_revenue_by_paying_company_total,Oil Revenue by Paying Company — Total,wb1971-table9-oil-exports-and-revenues,1963/64
IRN,Iran,1965,466.5,million US dollars,oil_revenue_by_paying_company_total,Oil Revenue by Paying Company — Total,wb1971-table9-oil-exports-and-revenues,1964/65
IRN,Iran,1966,514.1,million US dollars,oil_revenue_by_paying_company_total,Oil Revenue by Paying Company — Total,wb1971-table9-oil-exports-and-revenues,1965/66
IRN,Iran,1967,608.1,million US dollars,oil_revenue_by_paying_company_total,Oil Revenue by Paying Company — Total,wb1971-table9-oil-exports-and-revenues,1966/67
IRN,Iran,1968,751.6,million US dollars,oil_revenue_by_paying_company_total,Oil Revenue by Paying Company — Total,wb1971-table9-oil-exports-and-revenues,1967/68
IRN,Iran,1969,853.5,million US dollars,oil_revenue_by_paying_company_total,Oil Revenue by Paying Company — Total,wb1971-table9-oil-exports-and-revenues,1968/69
IRN,Iran,1970,964.6,million US dollars,oil_revenue_by_paying_company_total,Oil Revenue by Paying Company — Total,wb1971-table9-oil-exports-and-revenues,1969/70
IRN,Iran,1971,1164.0,million US dollars,oil_revenue_by_paying_company_total,Oil Revenue by Paying Company — Total,wb1971-table9-oil-exports-and-revenues,1970/71 (preliminary estimate)
IRN,Iran,1964,388.0,million US dollars,oil_revenue_by_paying_company_consortium,Oil Revenue by Paying Company — Consortium,wb1971-table9-oil-exports-and-revenues,1963/64
IRN,Iran,1965,466.5,million US dollars,oil_revenue_by_paying_company_consortium,Oil Revenue by Paying Company — Consortium,wb1971-table9-oil-exports-and-revenues,1964/65
IRN,Iran,1966,512.1,million US dollars,oil_revenue_by_paying_company_consortium,Oil Revenue by Paying Company — Consortium,wb1971-table9-oil-exports-and-revenues,1965/66
IRN,Iran,1967,591.5,million US dollars,oil_revenue_by_paying_company_consortium,Oil Revenue by Paying Company — Consortium,wb1971-table9-oil-exports-and-revenues,1966/67
IRN,Iran,1968,715.3,million US dollars,oil_revenue_by_paying_company_consortium,Oil Revenue by Paying Company — Consortium,wb1971-table9-oil-exports-and-revenues,1967/68
IRN,Iran,1969,817.3,million US dollars,oil_revenue_by_paying_company_consortium,Oil Revenue by Paying Company — Consortium,wb1971-table9-oil-exports-and-revenues,1968/69
IRN,Iran,1970,915.5,million US dollars,oil_revenue_by_paying_company_consortium,Oil Revenue by Paying Company — Consortium,wb1971-table9-oil-exports-and-revenues,1969/70
IRN,Iran,1971,1092.0,million US dollars,oil_revenue_by_paying_company_consortium,Oil Revenue by Paying Company — Consortium,wb1971-table9-oil-exports-and-revenues,1970/71 (preliminary estimate)
IRN,Iran,1964,,million US dollars,oil_revenue_by_paying_company_nioc,Oil Revenue by Paying Company — NIOC,wb1971-table9-oil-exports-and-revenues,1963/64
IRN,Iran,1965,,million US dollars,oil_revenue_by_paying_company_nioc,Oil Revenue by Paying Company — NIOC,wb1971-table9-oil-exports-and-revenues,1964/65
IRN,Iran,1966,,million US dollars,oil_revenue_by_paying_company_nioc,Oil Revenue by Paying Company — NIOC,wb1971-table9-oil-exports-and-revenues,1965/66
IRN,Iran,1967,,million US dollars,oil_revenue_by_paying_company_nioc,Oil Revenue by Paying Company — NIOC,wb1971-table9-oil-exports-and-revenues,1966/67
IRN,Iran,1968,,million US dollars,oil_revenue_by_paying_company_nioc,Oil Revenue by Paying Company — NIOC,wb1971-table9-oil-exports-and-revenues,1967/68
IRN,Iran,1969,5.2,million US dollars,oil_revenue_by_paying_company_nioc,Oil Revenue by Paying Company — NIOC,wb1971-table9-oil-exports-and-revenues,1968/69
IRN,Iran,1970,19.0,million US dollars,oil_revenue_by_paying_company_nioc,Oil Revenue by Paying Company — NIOC,wb1971-table9-oil-exports-and-revenues,1969/70
IRN,Iran,1971,30.0,million US dollars,oil_revenue_by_paying_company_nioc,Oil Revenue by Paying Company — NIOC,wb1971-table9-oil-exports-and-revenues,1970/71 (preliminary estimate)
IRN,Iran,1964,,million US dollars,oil_revenue_by_paying_company_other_companies,Oil Revenue by Paying Company — Other Companies,wb1971-table9-oil-exports-and-revenues,1963/64
IRN,Iran,1965,,million US dollars,oil_revenue_by_paying_company_other_companies,Oil Revenue by Paying Company — Other Companies,wb1971-table9-oil-exports-and-revenues,1964/65
IRN,Iran,1966,2.0,million US dollars,oil_revenue_by_paying_company_other_companies,Oil Revenue by Paying Company — Other Companies,wb1971-table9-oil-exports-and-revenues,1965/66
IRN,Iran,1967,16.6,million US dollars,oil_revenue_by_paying_company_other_companies,Oil Revenue by Paying Company — Other Companies,wb1971-table9-oil-exports-and-revenues,1966/67
IRN,Iran,1968,36.3,million US dollars,oil_revenue_by_paying_company_other_companies,Oil Revenue by Paying Company — Other Companies,wb1971-table9-oil-exports-and-revenues,1967/68
IRN,Iran,1969,31.0,million US dollars,oil_revenue_by_paying_company_other_companies,Oil Revenue by Paying Company — Other Companies,wb1971-table9-oil-exports-and-revenues,1968/69
IRN,Iran,1970,30.1,million US dollars,oil_revenue_by_paying_company_other_companies,Oil Revenue by Paying Company — Other Companies,wb1971-table9-oil-exports-and-revenues,1969/70
IRN,Iran,1971,42.0,million US dollars,oil_revenue_by_paying_company_other_companies,Oil Revenue by Paying Company — Other Companies,wb1971-table9-oil-exports-and-revenues,1970/71 (preliminary estimate)
IRN,Iran,1964,5.56,US dollars per ton,average_oil_revenue_per_ton_exported_total,Average Oil Revenue per Ton Exported — Total,wb1971-table9-oil-exports-and-revenues,1963/64
IRN,Iran,1965,5.88,US dollars per ton,average_oil_revenue_per_ton_exported_total,Average Oil Revenue per Ton Exported — Total,wb1971-table9-oil-exports-and-revenues,1964/65
IRN,Iran,1966,5.82,US dollars per ton,average_oil_revenue_per_ton_exported_total,Average Oil Revenue per Ton Exported — Total,wb1971-table9-oil-exports-and-revenues,1965/66
IRN,Iran,1967,6.09,US dollars per ton,average_oil_revenue_per_ton_exported_total,Average Oil Revenue per Ton Exported — Total,wb1971-table9-oil-exports-and-revenues,1966/67
IRN,Iran,1968,6.15,US dollars per ton,average_oil_revenue_per_ton_exported_total,Average Oil Revenue per Ton Exported — Total,wb1971-table9-oil-exports-and-revenues,1967/68
IRN,Iran,1969,6.38,US dollars per ton,average_oil_revenue_per_ton_exported_total,Average Oil Revenue per Ton Exported — Total,wb1971-table9-oil-exports-and-revenues,1968/69
IRN,Iran,1970,6.07,US dollars per ton,average_oil_revenue_per_ton_exported_total,Average Oil Revenue per Ton Exported — Total,wb1971-table9-oil-exports-and-revenues,1969/70
IRN,Iran,1971,6.34,US dollars per ton,average_oil_revenue_per_ton_exported_total,Average Oil Revenue per Ton Exported — Total,wb1971-table9-oil-exports-and-revenues,1970/71 (preliminary estimate)
IRN,Iran,1964,5.67,US dollars per ton,average_oil_revenue_per_ton_exported_consortium,Average Oil Revenue per Ton Exported — Consortium,wb1971-table9-oil-exports-and-revenues,1963/64
IRN,Iran,1965,5.97,US dollars per ton,average_oil_revenue_per_ton_exported_consortium,Average Oil Revenue per Ton Exported — Consortium,wb1971-table9-oil-exports-and-revenues,1964/65
IRN,Iran,1966,6.05,US dollars per ton,average_oil_revenue_per_ton_exported_consortium,Average Oil Revenue per Ton Exported — Consortium,wb1971-table9-oil-exports-and-revenues,1965/66
IRN,Iran,1967,6.19,US dollars per ton,average_oil_revenue_per_ton_exported_consortium,Average Oil Revenue per Ton Exported — Consortium,wb1971-table9-oil-exports-and-revenues,1966/67
IRN,Iran,1968,6.15,US dollars per ton,average_oil_revenue_per_ton_exported_consortium,Average Oil Revenue per Ton Exported — Consortium,wb1971-table9-oil-exports-and-revenues,1967/68
IRN,Iran,1969,6.33,US dollars per ton,average_oil_revenue_per_ton_exported_consortium,Average Oil Revenue per Ton Exported — Consortium,wb1971-table9-oil-exports-and-revenues,1968/69
IRN,Iran,1970,6.35,US dollars per ton,average_oil_revenue_per_ton_exported_consortium,Average Oil Revenue per Ton Exported — Consortium,wb1971-table9-oil-exports-and-revenues,1969/70
IRN,Iran,1971,6.67,US dollars per ton,average_oil_revenue_per_ton_exported_consortium,Average Oil Revenue per Ton Exported — Consortium,wb1971-table9-oil-exports-and-revenues,1970/71 (preliminary estimate)
IRN,Iran,1964,,US dollars per ton,average_oil_revenue_per_ton_exported_other_companies,Average Oil Revenue per Ton Exported — Other Companies,wb1971-table9-oil-exports-and-revenues,1963/64
IRN,Iran,1965,,US dollars per ton,average_oil_revenue_per_ton_exported_other_companies,Average Oil Revenue per Ton Exported — Other Companies,wb1971-table9-oil-exports-and-revenues,1964/65
IRN,Iran,1966,0.56,US dollars per ton,average_oil_revenue_per_ton_exported_other_companies,Average Oil Revenue per Ton Exported — Other Companies,wb1971-table9-oil-exports-and-revenues,1965/66
IRN,Iran,1967,3.86,US dollars per ton,average_oil_revenue_per_ton_exported_other_companies,Average Oil Revenue per Ton Exported — Other Companies,wb1971-table9-oil-exports-and-revenues,1966/67
