country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
IRN,Iran,1955,42900,count (persons employed),consortium_labor,"Consortium, Labor",usbm1963-oil-industry-personnel-by-category-1955-1961
IRN,Iran,1955,5899,count (persons employed),consortium_iranian_staff,"Consortium, Iranian staff",usbm1963-oil-industry-personnel-by-category-1955-1961
IRN,Iran,1955,280,count (persons employed),consortium_non_iranian_staff,"Consortium, Non-Iranian staff",usbm1963-oil-industry-personnel-by-category-1955-1961
IRN,Iran,1955,49079,count (persons employed),consortium_total,"Consortium, Total",usbm1963-oil-industry-personnel-by-category-1955-1961
IRN,Iran,1956,40391,count (persons employed),consortium_labor,"Consortium, Labor",usbm1963-oil-industry-personnel-by-category-1955-1961
IRN,Iran,1956,5080,count (persons employed),consortium_iranian_staff,"Consortium, Iranian staff",usbm1963-oil-industry-personnel-by-category-1955-1961
IRN,Iran,1956,453,count (persons employed),consortium_non_iranian_staff,"Consortium, Non-Iranian staff",usbm1963-oil-industry-personnel-by-category-1955-1961
IRN,Iran,1956,45924,count (persons employed),consortium_total,"Consortium, Total",usbm1963-oil-industry-personnel-by-category-1955-1961
IRN,Iran,1957,39985,count (persons employed),consortium_labor,"Consortium, Labor",usbm1963-oil-industry-personnel-by-category-1955-1961
IRN,Iran,1957,5859,count (persons employed),consortium_iranian_staff_non_iranian_staff_combined_in_source,"Consortium, Iranian staff + Non-Iranian staff (combined in source)",usbm1963-oil-industry-personnel-by-category-1955-1961
IRN,Iran,1957,45844,count (persons employed),consortium_total,"Consortium, Total",usbm1963-oil-industry-personnel-by-category-1955-1961
IRN,Iran,1958,40053,count (persons employed),consortium_labor,"Consortium, Labor",usbm1963-oil-industry-personnel-by-category-1955-1961
IRN,Iran,1958,5356,count (persons employed),consortium_iranian_staff,"Consortium, Iranian staff",usbm1963-oil-industry-personnel-by-category-1955-1961
IRN,Iran,1958,603,count (persons employed),consortium_non_iranian_staff,"Consortium, Non-Iranian staff",usbm1963-oil-industry-personnel-by-category-1955-1961
IRN,Iran,1958,46012,count (persons employed),consortium_total,"Consortium, Total",usbm1963-oil-industry-personnel-by-category-1955-1961
IRN,Iran,1959,36758,count (persons employed),consortium_labor,"Consortium, Labor",usbm1963-oil-industry-personnel-by-category-1955-1961
