country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,computed
IRN,Iran,2019,1971475.95882416,,DT.NFL.CERF.CD,CERF,wdi,false
IRN,Iran,2023,1000020.0271606401,,DT.NFL.CERF.CD,CERF,wdi,false
TUR,Turkey,2023,10200241.0888672,,DT.NFL.CERF.CD,CERF,wdi,false
VEN,Venezuela,2018,9202770.2331543,,DT.NFL.CERF.CD,CERF,wdi,false
VEN,Venezuela,2019,10015686.0351563,,DT.NFL.CERF.CD,CERF,wdi,false
VEN,Venezuela,2021,8000000,,DT.NFL.CERF.CD,CERF,wdi,false
VEN,Venezuela,2022,8000000,,DT.NFL.CERF.CD,CERF,wdi,false
VEN,Venezuela,2023,8245001.792907709,,DT.NFL.CERF.CD,CERF,wdi,false
IRN,Iran,2019,3823057.2186,constant 2015 US$ (computed),DT.NFL.CERF.CD,CERF,wdi,true
IRN,Iran,2023,1984358.4643,constant 2015 US$ (computed),DT.NFL.CERF.CD,CERF,wdi,true
TUR,Turkey,2023,15580249.482,constant 2015 US$ (computed),DT.NFL.CERF.CD,CERF,wdi,true
VEN,Venezuela,2018,16016849.4408,constant 2015 US$ (computed),DT.NFL.CERF.CD,CERF,wdi,true
VEN,Venezuela,2019,17329168.8527,constant 2015 US$ (computed),DT.NFL.CERF.CD,CERF,wdi,true
ARG,Argentina,2013,26011.9996964931,,DT.NFL.FAOG.CD,FAO,wdi,false
ARG,Argentina,2018,95169.9987053871,,DT.NFL.FAOG.CD,FAO,wdi,false
ARG,Argentina,2019,83159.9980592728,,DT.NFL.FAOG.CD,FAO,wdi,false
ARG,Argentina,2020,29209.9993675947,,DT.NFL.FAOG.CD,FAO,wdi,false
ARG,Argentina,2021,150340.005755425,,DT.NFL.FAOG.CD,FAO,wdi,false
ARG,Argentina,2022,95214.0018343925,,DT.NFL.FAOG.CD,FAO,wdi,false
ARG,Argentina,2023,19664.0007197857,,DT.NFL.FAOG.CD,FAO,wdi,false
IRN,Iran,2013,2006.99991546571,,DT.NFL.FAOG.CD,FAO,wdi,false
IRN,Iran,2018,270566.999912262,,DT.NFL.FAOG.CD,FAO,wdi,false
IRN,Iran,2019,412039.011716843,,DT.NFL.FAOG.CD,FAO,wdi,false
IRN,Iran,2020,280445.992946625,,DT.NFL.FAOG.CD,FAO,wdi,false
IRN,Iran,2021,444499.999284744,,DT.NFL.FAOG.CD,FAO,wdi,false
IRN,Iran,2022,58676.0006844997,,DT.NFL.FAOG.CD,FAO,wdi,false
IRN,Iran,2023,485101.014375687,,DT.NFL.FAOG.CD,FAO,wdi,false
TUR,Turkey,2013,531978.011131287,,DT.NFL.FAOG.CD,FAO,wdi,false
TUR,Turkey,2018,657660.007476807,,DT.NFL.FAOG.CD,FAO,wdi,false
TUR,Turkey,2019,495730.012655258,,DT.NFL.FAOG.CD,FAO,wdi,false
TUR,Turkey,2020,106688.00026178401,,DT.NFL.FAOG.CD,FAO,wdi,false
TUR,Turkey,2021,315030.008554459,,DT.NFL.FAOG.CD,FAO,wdi,false
TUR,Turkey,2022,237653.00214290599,,DT.NFL.FAOG.CD,FAO,wdi,false
TUR,Turkey,2023,539606.988430023,,DT.NFL.FAOG.CD,FAO,wdi,false
VEN,Venezuela,2013,58703.001588583,,DT.NFL.FAOG.CD,FAO,wdi,false
VEN,Venezuela,2019,39455.000311136195,,DT.NFL.FAOG.CD,FAO,wdi,false
VEN,Venezuela,2020,79961.0018730164,,DT.NFL.FAOG.CD,FAO,wdi,false
VEN,Venezuela,2021,393460.005521774,,DT.NFL.FAOG.CD,FAO,wdi,false
VEN,Venezuela,2022,284817.010164261,,DT.NFL.FAOG.CD,FAO,wdi,false
VEN,Venezuela,2023,28126.9997358322,,DT.NFL.FAOG.CD,FAO,wdi,false
ARG,Argentina,2013,28694.0946,constant 2015 US$ (computed),DT.NFL.FAOG.CD,FAO,wdi,true
ARG,Argentina,2018,84741.3578,constant 2015 US$ (computed),DT.NFL.FAOG.CD,FAO,wdi,true
ARG,Argentina,2019,86495.2034,constant 2015 US$ (computed),DT.NFL.FAOG.CD,FAO,wdi,true
ARG,Argentina,2020,50841.271,constant 2015 US$ (computed),DT.NFL.FAOG.CD,FAO,wdi,true
ARG,Argentina,2021,247036.7667,constant 2015 US$ (computed),DT.NFL.FAOG.CD,FAO,wdi,true
ARG,Argentina,2022,134971.4763,constant 2015 US$ (computed),DT.NFL.FAOG.CD,FAO,wdi,true
ARG,Argentina,2023,29140.4734,constant 2015 US$ (computed),DT.NFL.FAOG.CD,FAO,wdi,true
IRN,Iran,2013,2586.301,constant 2015 US$ (computed),DT.NFL.FAOG.CD,FAO,wdi,true
IRN,Iran,2018,509674.4934,constant 2015 US$ (computed),DT.NFL.FAOG.CD,FAO,wdi,true
IRN,Iran,2019,799019.9987,constant 2015 US$ (computed),DT.NFL.FAOG.CD,FAO,wdi,true
IRN,Iran,2020,692866.5083,constant 2015 US$ (computed),DT.NFL.FAOG.CD,FAO,wdi,true
IRN,Iran,2021,954096.4785,constant 2015 US$ (computed),DT.NFL.FAOG.CD,FAO,wdi,true
IRN,Iran,2022,104849.299,constant 2015 US$ (computed),DT.NFL.FAOG.CD,FAO,wdi,true
IRN,Iran,2023,962595.0259,constant 2015 US$ (computed),DT.NFL.FAOG.CD,FAO,wdi,true
TUR,Turkey,2013,436397.5718,constant 2015 US$ (computed),DT.NFL.FAOG.CD,FAO,wdi,true
TUR,Turkey,2018,837770.3767,constant 2015 US$ (computed),DT.NFL.FAOG.CD,FAO,wdi,true
TUR,Turkey,2019,644285.9065,constant 2015 US$ (computed),DT.NFL.FAOG.CD,FAO,wdi,true
TUR,Turkey,2020,152548.0753,constant 2015 US$ (computed),DT.NFL.FAOG.CD,FAO,wdi,true
TUR,Turkey,2021,475615.8102,constant 2015 US$ (computed),DT.NFL.FAOG.CD,FAO,wdi,true
TUR,Turkey,2022,389354.2726,constant 2015 US$ (computed),DT.NFL.FAOG.CD,FAO,wdi,true
TUR,Turkey,2023,824216.9404,constant 2015 US$ (computed),DT.NFL.FAOG.CD,FAO,wdi,true
VEN,Venezuela,2013,14071.3222,constant 2015 US$ (computed),DT.NFL.FAOG.CD,FAO,wdi,true
VEN,Venezuela,2019,68265.1553,constant 2015 US$ (computed),DT.NFL.FAOG.CD,FAO,wdi,true
VEN,Venezuela,2020,309522.7196,constant 2015 US$ (computed),DT.NFL.FAOG.CD,FAO,wdi,true
ARG,Argentina,2006,680000.007152557,,DT.NFL.IAEA.CD,IAEA,wdi,false
ARG,Argentina,2007,899999.976158142,,DT.NFL.IAEA.CD,IAEA,wdi,false
ARG,Argentina,2008,699999.988079071,,DT.NFL.IAEA.CD,IAEA,wdi,false
ARG,Argentina,2009,819999.992847443,,DT.NFL.IAEA.CD,IAEA,wdi,false
ARG,Argentina,2010,750000,,DT.NFL.IAEA.CD,IAEA,wdi,false
ARG,Argentina,2011,250000,,DT.NFL.IAEA.CD,IAEA,wdi,false
ARG,Argentina,2012,400000.00596046395,,DT.NFL.IAEA.CD,IAEA,wdi,false
ARG,Argentina,2013,1120000.00476837,,DT.NFL.IAEA.CD,IAEA,wdi,false
ARG,Argentina,2014,310000.002384186,,DT.NFL.IAEA.CD,IAEA,wdi,false
ARG,Argentina,2015,515896.02231979405,,DT.NFL.IAEA.CD,IAEA,wdi,false
ARG,Argentina,2016,367918.998003006,,DT.NFL.IAEA.CD,IAEA,wdi,false
ARG,Argentina,2017,643083.989620209,,DT.NFL.IAEA.CD,IAEA,wdi,false
ARG,Argentina,2018,709070.980548859,,DT.NFL.IAEA.CD,IAEA,wdi,false
ARG,Argentina,2019,753045.976161957,,DT.NFL.IAEA.CD,IAEA,wdi,false
ARG,Argentina,2020,940183.997154236,,DT.NFL.IAEA.CD,IAEA,wdi,false
ARG,Argentina,2021,768176.972866058,,DT.NFL.IAEA.CD,IAEA,wdi,false
ARG,Argentina,2022,1695508.00323486,,DT.NFL.IAEA.CD,IAEA,wdi,false
ARG,Argentina,2023,1517887.9499435402,,DT.NFL.IAEA.CD,IAEA,wdi,false
IRN,Iran,2006,800000.011920929,,DT.NFL.IAEA.CD,IAEA,wdi,false
IRN,Iran,2007,540000.021457672,,DT.NFL.IAEA.CD,IAEA,wdi,false
IRN,Iran,2008,280000.001192093,,DT.NFL.IAEA.CD,IAEA,wdi,false
IRN,Iran,2009,490000.009536743,,DT.NFL.IAEA.CD,IAEA,wdi,false
IRN,Iran,2010,660000.026226044,,DT.NFL.IAEA.CD,IAEA,wdi,false
IRN,Iran,2011,319999.99284744303,,DT.NFL.IAEA.CD,IAEA,wdi,false
IRN,Iran,2012,379999.99523162795,,DT.NFL.IAEA.CD,IAEA,wdi,false
IRN,Iran,2013,430000.00715255697,,DT.NFL.IAEA.CD,IAEA,wdi,false
IRN,Iran,2014,349999.99403953605,,DT.NFL.IAEA.CD,IAEA,wdi,false
IRN,Iran,2015,291159.00397300697,,DT.NFL.IAEA.CD,IAEA,wdi,false
IRN,Iran,2016,212114.006280899,,DT.NFL.IAEA.CD,IAEA,wdi,false
IRN,Iran,2017,303438.00783157296,,DT.NFL.IAEA.CD,IAEA,wdi,false
IRN,Iran,2018,323843.002319336,,DT.NFL.IAEA.CD,IAEA,wdi,false
IRN,Iran,2019,258675.99248886097,,DT.NFL.IAEA.CD,IAEA,wdi,false
IRN,Iran,2020,161375.00107288398,,DT.NFL.IAEA.CD,IAEA,wdi,false
IRN,Iran,2021,271113.008260727,,DT.NFL.IAEA.CD,IAEA,wdi,false
IRN,Iran,2022,282952.010631561,,DT.NFL.IAEA.CD,IAEA,wdi,false
IRN,Iran,2023,471240.997314453,,DT.NFL.IAEA.CD,IAEA,wdi,false
TUR,Turkey,2006,280000.001192093,,DT.NFL.IAEA.CD,IAEA,wdi,false
TUR,Turkey,2007,310000.002384186,,DT.NFL.IAEA.CD,IAEA,wdi,false
TUR,Turkey,2008,400000.00596046395,,DT.NFL.IAEA.CD,IAEA,wdi,false
TUR,Turkey,2009,200000.00298023198,,DT.NFL.IAEA.CD,IAEA,wdi,false
TUR,Turkey,2010,39999.9991059303,,DT.NFL.IAEA.CD,IAEA,wdi,false
TUR,Turkey,2021,104450.00231266,,DT.NFL.IAEA.CD,IAEA,wdi,false
TUR,Turkey,2022,154670.998454094,,DT.NFL.IAEA.CD,IAEA,wdi,false
TUR,Turkey,2023,329847.991466522,,DT.NFL.IAEA.CD,IAEA,wdi,false
VEN,Venezuela,2006,259999.990463257,,DT.NFL.IAEA.CD,IAEA,wdi,false
VEN,Venezuela,2007,300000.011920929,,DT.NFL.IAEA.CD,IAEA,wdi,false
VEN,Venezuela,2008,280000.001192093,,DT.NFL.IAEA.CD,IAEA,wdi,false
VEN,Venezuela,2009,300000.011920929,,DT.NFL.IAEA.CD,IAEA,wdi,false
VEN,Venezuela,2010,230000.004172325,,DT.NFL.IAEA.CD,IAEA,wdi,false
VEN,Venezuela,2011,180000.00715255702,,DT.NFL.IAEA.CD,IAEA,wdi,false
VEN,Venezuela,2012,389999.98569488496,,DT.NFL.IAEA.CD,IAEA,wdi,false
VEN,Venezuela,2013,270000.010728836,,DT.NFL.IAEA.CD,IAEA,wdi,false
VEN,Venezuela,2014,300000.011920929,,DT.NFL.IAEA.CD,IAEA,wdi,false
VEN,Venezuela,2015,398158.997297287,,DT.NFL.IAEA.CD,IAEA,wdi,false
VEN,Venezuela,2016,299733.012914658,,DT.NFL.IAEA.CD,IAEA,wdi,false
