country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset
SAU,Saudi Arabia,2018,80256,SAR million,gross_domestic_product_by_main_economic_activity_at_current_prices_agriculture_forestry_and_fishing,"Gross Domestic Product By Main Economic Activity at Current Prices — Agriculture, forestry and fishing",gastat-saudi:national-accounts:Table 1
SAU,Saudi Arabia,2019,81795,SAR million,gross_domestic_product_by_main_economic_activity_at_current_prices_agriculture_forestry_and_fishing,"Gross Domestic Product By Main Economic Activity at Current Prices — Agriculture, forestry and fishing",gastat-saudi:national-accounts:Table 1
SAU,Saudi Arabia,2020,85116,SAR million,gross_domestic_product_by_main_economic_activity_at_current_prices_agriculture_forestry_and_fishing,"Gross Domestic Product By Main Economic Activity at Current Prices — Agriculture, forestry and fishing",gastat-saudi:national-accounts:Table 1
SAU,Saudi Arabia,2021,90214,SAR million,gross_domestic_product_by_main_economic_activity_at_current_prices_agriculture_forestry_and_fishing,"Gross Domestic Product By Main Economic Activity at Current Prices — Agriculture, forestry and fishing",gastat-saudi:national-accounts:Table 1
SAU,Saudi Arabia,2022,102912,SAR million,gross_domestic_product_by_main_economic_activity_at_current_prices_agriculture_forestry_and_fishing,"Gross Domestic Product By Main Economic Activity at Current Prices — Agriculture, forestry and fishing",gastat-saudi:national-accounts:Table 1
SAU,Saudi Arabia,2023,112308,SAR million,gross_domestic_product_by_main_economic_activity_at_current_prices_agriculture_forestry_and_fishing,"Gross Domestic Product By Main Economic Activity at Current Prices — Agriculture, forestry and fishing",gastat-saudi:national-accounts:Table 1
SAU,Saudi Arabia,2024,117893,SAR million,gross_domestic_product_by_main_economic_activity_at_current_prices_agriculture_forestry_and_fishing,"Gross Domestic Product By Main Economic Activity at Current Prices — Agriculture, forestry and fishing",gastat-saudi:national-accounts:Table 1
SAU,Saudi Arabia,2018,77582,SAR million,gross_domestic_product_by_main_economic_activity_at_current_prices_crop_and_animal_production_hunting_and_related_service_activities,"Gross Domestic Product By Main Economic Activity at Current Prices — Crop and animal production, hunting and related service activities",gastat-saudi:national-accounts:Table 1
SAU,Saudi Arabia,2019,79007,SAR million,gross_domestic_product_by_main_economic_activity_at_current_prices_crop_and_animal_production_hunting_and_related_service_activities,"Gross Domestic Product By Main Economic Activity at Current Prices — Crop and animal production, hunting and related service activities",gastat-saudi:national-accounts:Table 1
SAU,Saudi Arabia,2020,82210,SAR million,gross_domestic_product_by_main_economic_activity_at_current_prices_crop_and_animal_production_hunting_and_related_service_activities,"Gross Domestic Product By Main Economic Activity at Current Prices — Crop and animal production, hunting and related service activities",gastat-saudi:national-accounts:Table 1
